country,year,age,mortality
Spain,2005,5-9,5.032712632108706e-4
United States of America,2005,5-9,7.591093117408907e-4
Argentina,2006,0-4,0.016986911723753828
Brazil,2006,0-4,0.02369163271701661
France,2006,0-4,0.004647560030983733
Germany,2006,0-4,0.004284490145672665
Iran,2006,0-4,0.02440273037542662
Italy,2006,0-4,0.004259850905218318
Kenya,2006,0-4,0.08157769681609378
Mexico,2006,0-4,0.019922766368263997
Nigeria,2006,0-4,0.16935162293643832
Peru,2006,0-4,0.024373730534867976
Poland,2006,0-4,0.007198228128460687
South Africa,2006,0-4,0.07595943527540266
Spain,2006,0-4,0.0043975373790677225
United States of America,2006,0-4,0.00812421882511297
Argentina,2006,10-14,0.0014068655036578502
Brazil,2006,10-14,0.0019695302091177662
France,2006,10-14,5.344735435595938e-4
Germany,2006,10-14,4.847309743092584e-4
Iran,2006,10-14,0.002041113864994897
Italy,2006,10-14,3.598416696653472e-4
Kenya,2006,10-14,0.008822896492360663
Mexico,2006,10-14,0.0018743305962156372
Nigeria,2006,10-14,0.021362756030283467
Peru,2006,10-14,0.00232249502322495
Poland,2006,10-14,8.183306055646482e-4
South Africa,2006,10-14,0.006615878107457899
Spain,2006,10-14,4.71253534401508e-4
United States of America,2006,10-14,7.937990287635412e-4
Argentina,2006,15-19,0.003800058462437884
Brazil,2006,15-19,0.005731972945087699
France,2006,15-19,0.0015310028068384791
Germany,2006,15-19,0.0015069967707212056
Iran,2006,15-19,0.0048303622771707876
Italy,2006,15-19,0.0017307026652821046
Kenya,2006,15-19,0.012534818941504178
Mexico,2006,15-19,0.0039241960183767225
Nigeria,2006,15-19,0.03201721934485774
Peru,2006,15-19,0.0045154567558179926
Poland,2006,15-19,0.0021238938053097347
South Africa,2006,15-19,0.00993625796775403
Spain,2006,15-19,0.0017271157167530224
United States of America,2006,15-19,0.0029020222027730433
Argentina,2006,5-9,0.001146131805157593
Brazil,2006,5-9,0.0015057624370185903
France,2006,5-9,5.331911490269261e-4
Germany,2006,5-9,5.103342689461597e-4
Iran,2006,5-9,0.0022988505747126436
Italy,2006,5-9,3.695491500369549e-4
Kenya,2006,5-9,0.012603528988116673
Mexico,2006,5-9,0.0015178571428571428
Nigeria,2006,5-9,0.04150256006301693
Peru,2006,5-9,0.0037722908093278463
Poland,2006,5-9,5.104645227156713e-4
South Africa,2006,5-9,0.008795811518324608
Spain,2006,5-9,4.899559039686428e-4
United States of America,2006,5-9,6.576284904896803e-4
Argentina,2007,0-4,0.016930335831251735
Brazil,2007,0-4,0.02416416288435722
France,2007,0-4,0.004614201486798257
Germany,2007,0-4,0.004359197907585004
Iran,2007,0-4,0.023969158565202816
Italy,2007,0-4,0.00422237860661506
Kenya,2007,0-4,0.07988211571273461
Mexico,2007,0-4,0.019977118718648244
Nigeria,2007,0-4,0.16490642230333152
Peru,2007,0-4,0.024193548387096774
Poland,2007,0-4,0.007008086253369272
South Africa,2007,0-4,0.07426127527216174
Spain,2007,0-4,0.004217629692113032
United States of America,2007,0-4,0.008031555935747553
Argentina,2007,10-14,0.001411631846414455
Brazil,2007,10-14,0.001965431527833979
France,2007,10-14,5.336179295624333e-4
Germany,2007,10-14,4.912797838368951e-4
Iran,2007,10-14,0.0021475686454977758
Italy,2007,10-14,3.6114120621162876e-4
Kenya,2007,10-14,0.008548790658882402
Mexico,2007,10-14,0.001871824583296194
Nigeria,2007,10-14,0.020807133874471247
Peru,2007,10-14,0.0023521505376344087
Poland,2007,10-14,8.557980316645272e-4
South Africa,2007,10-14,0.006703229737964655
Spain,2007,10-14,4.6816479400749064e-4
United States of America,2007,10-14,8.006782215523738e-4
Argentina,2007,15-19,0.0037583116507661175
Brazil,2007,15-19,0.005764685536403989
France,2007,15-19,0.0015467904098994587
Germany,2007,15-19,0.0015408320493066256
Iran,2007,15-19,0.005034763845600575
Italy,2007,15-19,0.0017307026652821046
Kenya,2007,15-19,0.01247977813727756
Mexico,2007,15-19,0.003863186657872421
Nigeria,2007,15-19,0.031429514691317266
Peru,2007,15-19,0.004502944232767579
Poland,2007,15-19,0.002183406113537118
South Africa,2007,15-19,0.01002458861358048
Spain,2007,15-19,0.0017293558149589277
United States of America,2007,15-19,0.0028796050827315112
Argentina,2007,5-9,0.001145147437732608
Brazil,2007,5-9,0.0015196680109883687
France,2007,5-9,5.284015852047556e-4
Germany,2007,5-9,5.192107995846313e-4
Iran,2007,5-9,0.0023301666965405985
Italy,2007,5-9,3.677822728944465e-4
Kenya,2007,5-9,0.012269938650306749
Mexico,2007,5-9,0.0015170444404783152
Nigeria,2007,5-9,0.040184955667842505
Peru,2007,5-9,0.0038062283737024223
Poland,2007,5-9,5.285412262156448e-4
South Africa,2007,5-9,0.008799497171590195
Spain,2007,5-9,4.764173415912339e-4
United States of America,2007,5-9,6.525776818432809e-4
Argentina,2008,0-4,0.01694915254237288
Brazil,2008,0-4,0.02455661664392906
France,2008,0-4,0.004591836734693878
Germany,2008,0-4,0.004392386530014641
Iran,2008,0-4,0.023636363636363636
Italy,2008,0-4,0.004209049456331112
Kenya,2008,0-4,0.07803030303030303
Mexico,2008,0-4,0.020095609065155808
Nigeria,2008,0-4,0.16096876895087933
Peru,2008,0-4,0.02401601067378252
Poland,2008,0-4,0.0067708333333333336
South Africa,2008,0-4,0.07243079256731134
Spain,2008,0-4,0.004083299305839118
United States of America,2008,0-4,0.008025072415594282
Argentina,2008,10-14,0.0014196479273140261
Brazil,2008,10-14,0.001960219083309311
France,2008,10-14,5.310674455655868e-4
Germany,2008,10-14,4.956629491945477e-4
Iran,2008,10-14,0.0022497187851518562
Italy,2008,10-14,3.62844702467344e-4
Kenya,2008,10-14,0.008246178600160902
Mexico,2008,10-14,0.0018744979023475855
Nigeria,2008,10-14,0.020228965210625765
Peru,2008,10-14,0.0023841961852861036
Poland,2008,10-14,8.98069151324652e-4
South Africa,2008,10-14,0.006780357509759606
Spain,2008,10-14,4.636068613815484e-4
United States of America,2008,10-14,8.078696003421565e-4
Argentina,2008,15-19,0.0037185354691075517
Brazil,2008,15-19,0.00579139398853304
France,2008,15-19,0.0015629070070330815
Germany,2008,15-19,0.0015869417365676718
Iran,2008,15-19,0.0052996845425867505
Italy,2008,15-19,0.0017325017325017325
Kenya,2008,15-19,0.012428078250863062
Mexico,2008,15-19,0.003795944819924081
Nigeria,2008,15-19,0.03079311683270798
Peru,2008,15-19,0.004493605254061528
Poland,2008,15-19,0.0022413149047441168
South Africa,2008,15-19,0.010155202146004981
Spain,2008,15-19,0.0017301038062283738
United States of America,2008,15-19,0.0028576612537421753
Argentina,2008,5-9,0.001139925904816187
Brazil,2008,5-9,0.001541471512420703
France,2008,5-9,5.241090146750524e-4
Germany,2008,5-9,5.305039787798408e-4
Iran,2008,5-9,0.0023314203730272595
Italy,2008,5-9,3.6563071297989033e-4
Kenya,2008,5-9,0.011994516792323509
Mexico,2008,5-9,0.0015124555160142348
Nigeria,2008,5-9,0.03890170742962621
Peru,2008,5-9,0.00383008356545961
Poland,2008,5-9,5.428881650380022e-4
South Africa,2008,5-9,0.008768267223382045
Spain,2008,5-9,4.6425255338904364e-4
United States of America,2008,5-9,6.44010700485485e-4
Argentina,2009,0-4,0.01696329254727475
Brazil,2009,0-4,0.024896265560165973
France,2009,0-4,0.004577822990844354
Germany,2009,0-4,0.004410467509556013
Iran,2009,0-4,0.023293696041700604
Italy,2009,0-4,0.004213483146067416
Kenya,2009,0-4,0.07639816051031004
Mexico,2009,0-4,0.020206515933772477
Nigeria,2009,0-4,0.15719732020579635
Peru,2009,0-4,0.023928215353938187
Poland,2009,0-4,0.006578947368421052
South Africa,2009,0-4,0.07070146215065705
Spain,2009,0-4,0.00400962309542903
United States of America,2009,0-4,0.008057210965435041
Argentina,2009,10-14,0.0014273479874393378
Brazil,2009,10-14,0.0019584125338402165
France,2009,10-14,5.277044854881266e-4
Germany,2009,10-14,4.996252810392206e-4
Iran,2009,10-14,0.0023415286837263757
Italy,2009,10-14,3.641660597232338e-4
Kenya,2009,10-14,0.00795498641831587
Mexico,2009,10-14,0.0018790264853256978
Nigeria,2009,10-14,0.019643820831084728
Peru,2009,10-14,0.002413793103448276
Poland,2009,10-14,9.420631182289214e-4
South Africa,2009,10-14,0.006840796019900498
Spain,2009,10-14,4.578754578754579e-4
United States of America,2009,10-14,8.128137700215156e-4
Argentina,2009,15-19,0.003685851998865892
Brazil,2009,15-19,0.005808887598024978
France,2009,15-19,0.001574389923904487
Germany,2009,15-19,0.0016347501167678655
Iran,2009,15-19,0.005599253432875617
Italy,2009,15-19,0.001736111111111111
Kenya,2009,15-19,0.012300683371298405
Mexico,2009,15-19,0.00373746581586144
Nigeria,2009,15-19,0.03010371869466228
Peru,2009,15-19,0.004488950276243094
Poland,2009,15-19,0.002307692307692308
South Africa,2009,15-19,0.010301263362487852
Spain,2009,15-19,0.0017346053772766695
United States of America,2009,15-19,0.0028429602888086643
Argentina,2009,5-9,0.0011328235627301047
Brazil,2009,5-9,0.001568816750135763
France,2009,5-9,5.205622071837585e-4
Germany,2009,5-9,5.42740841248304e-4
Iran,2009,5-9,0.002311111111111111
Italy,2009,5-9,3.6310820624546115e-4
Kenya,2009,5-9,0.01175285426460712
Mexico,2009,5-9,0.0015068250310228684
Nigeria,2009,5-9,0.03770631122243592
Peru,2009,5-9,0.0038421236465246244
Poland,2009,5-9,5.52791597567717e-4
South Africa,2009,5-9,0.008699254349627174
Spain,2009,5-9,4.5475216007276033e-4
United States of America,2009,5-9,6.350136772176632e-4
Argentina,2010,0-4,0.01691625069328896
Brazil,2010,0-4,0.025210084033613446
France,2010,0-4,0.00456968773800457
Germany,2010,0-4,0.004424778761061947
Iran,2010,0-4,0.02286902286902287
Italy,2010,0-4,0.004228329809725159
Kenya,2010,0-4,0.075149569531592
Mexico,2010,0-4,0.02026242970632866
Nigeria,2010,0-4,0.15334897996028163
Peru,2010,0-4,0.023968042609853527
Poland,2010,0-4,0.0064773293472845045
South Africa,2010,0-4,0.06919036406448108
Spain,2010,0-4,0.003996802557953637
United States of America,2010,0-4,0.008089995213020585
Argentina,2010,10-14,0.0014310246136233543
Brazil,2010,10-14,0.001964296030966549
France,2010,10-14,5.241090146750524e-4
Germany,2010,10-14,5.047955577990914e-4
Iran,2010,10-14,0.002416292716603383
Italy,2010,10-14,3.645643456069996e-4
Kenya,2010,10-14,0.007699530516431925
Mexico,2010,10-14,0.0018812147272238647
Nigeria,2010,10-14,0.019063580182256207
Peru,2010,10-14,0.002434782608695652
Poland,2010,10-14,9.847365829640572e-4
South Africa,2010,10-14,0.006885040684331317
Spain,2010,10-14,4.526935264825713e-4
United States of America,2010,10-14,8.13747546790484e-4
Argentina,2010,15-19,0.0036671368124118475
Brazil,2010,15-19,0.005816320595591229
France,2010,15-19,0.0015789473684210526
Germany,2010,15-19,0.001675442795595979
Iran,2010,15-19,0.005911330049261084
Italy,2010,15-19,0.0017409470752089136
Kenya,2010,15-19,0.012064343163538873
Mexico,2010,15-19,0.00369669101072942
Nigeria,2010,15-19,0.029371837591015672
Peru,2010,15-19,0.004493605254061528
Poland,2010,15-19,0.0023885350318471337
South Africa,2010,15-19,0.010439235769155012
Spain,2010,15-19,0.0017429193899782135
United States of America,2010,15-19,0.002838221381267739
Argentina,2010,5-9,0.0011273957158962795
Brazil,2010,5-9,0.0015970515970515971
France,2010,5-9,5.177323323841574e-4
Germany,2010,5-9,5.532503457814661e-4
Iran,2010,5-9,0.002285111618913693
Italy,2010,5-9,3.6088054853843375e-4
Kenya,2010,5-9,0.011513157894736841
Mexico,2010,5-9,0.001504424778761062
Nigeria,2010,5-9,0.0366394297635605
Peru,2010,5-9,0.0038501925096254812
Poland,2010,5-9,5.577244841048522e-4
South Africa,2010,5-9,0.008601269711243089
Spain,2010,5-9,4.484304932735426e-4
United States of America,2010,5-9,6.294180304057326e-4
Argentina,2011,0-4,0.014384508990318118
Brazil,2011,0-4,0.018624738511370538
France,2011,0-4,0.004041424602172266
Germany,2011,0-4,0.00412614205717654
Iran,2011,0-4,0.018483709273182956
Italy,2011,0-4,0.0035298270384751147
Kenya,2011,0-4,0.05918689843413303
Mexico,2011,0-4,0.017828346174520695
Nigeria,2011,0-4,0.14120256283883686
Peru,2011,0-4,0.017264276228419653
Poland,2011,0-4,0.004835589941972921
South Africa,2011,0-4,0.04551870148200424
Spain,2011,0-4,0.0031311154598825833
United States of America,2011,0-4,0.006710122699386503
Argentina,2011,10-14,0.0014314342971657602
Brazil,2011,10-14,0.001686831084225221
France,2011,10-14,5.217845030002609e-4
Germany,2011,10-14,5.068423720223011e-4
Iran,2011,10-14,0.001417434443656981
Italy,2011,10-14,3.633720930232558e-4
Kenya,2011,10-14,0.00547845142439737
Mexico,2011,10-14,0.001880540879376735
Nigeria,2011,10-14,0.019294237116019294
Peru,2011,10-14,0.001768033946251768
Poland,2011,10-14,5.136106831022085e-4
South Africa,2011,10-14,0.003977391668411137
Spain,2011,10-14,4.5187528242205153e-4
United States of America,2011,10-14,7.202881152460984e-4
Argentina,2011,15-19,0.003663003663003663
Brazil,2011,15-19,0.005581395348837209
France,2011,15-19,0.0013231013495633766
Germany,2011,15-19,0.0012054001928640309
Iran,2011,15-19,0.0026785714285714286
Italy,2011,15-19,0.0010460251046025104
Kenya,2011,15-19,0.009152320767051645
Mexico,2011,15-19,0.004035874439461884
Nigeria,2011,15-19,0.02964569775849602
Peru,2011,15-19,0.0041914076143905
Poland,2011,15-19,0.0016576875259013675
South Africa,2011,15-19,0.006584197924980048
Spain,2011,15-19,8.77963125548727e-4
United States of America,2011,15-19,0.002296262944619541
Argentina,2011,5-9,0.0011229646266142617
Brazil,2011,5-9,0.0012489072061945797
France,2011,5-9,5.132152938157557e-4
Germany,2011,5-9,5.581914596706671e-4
Iran,2011,5-9,0.001392757660167131
Italy,2011,5-9,3.5778175313059033e-4
Kenya,2011,5-9,0.007240547063555913
Mexico,2011,5-9,0.0014144271570014145
Nigeria,2011,5-9,0.036275542447861804
Peru,2011,5-9,0.003157894736842105
Poland,2011,5-9,5.586592178770949e-4
South Africa,2011,5-9,0.005042355788624445
Spain,2011,5-9,4.4072278536800354e-4
United States of America,2011,5-9,5.795421616922632e-4
Argentina,2012,0-4,0.014301430143014302
Brazil,2012,0-4,0.01874745279174025
France,2012,0-4,0.0040373454453696694
Germany,2012,0-4,0.004121283485428319
Iran,2012,0-4,0.018123176163415758
Italy,2012,0-4,0.0035650623885918
Kenya,2012,0-4,0.058706184098033624
Mexico,2012,0-4,0.01781557743957028
Nigeria,2012,0-4,0.1378019033222249
Peru,2012,0-4,0.01752612066059993
Poland,2012,0-4,0.004873294346978557
South Africa,2012,0-4,0.044853963838664815
Spain,2012,0-4,0.0031783869686134287
United States of America,2012,0-4,0.006770153295613908
Argentina,2012,10-14,0.0014281633818908884
Brazil,2012,10-14,0.001704779260478514
France,2012,10-14,5.182689816014512e-4
Germany,2012,10-14,5.103342689461597e-4
Iran,2012,10-14,0.0014393666786613889
Italy,2012,10-14,3.6114120621162876e-4
Kenya,2012,10-14,0.005338078291814947
Mexico,2012,10-14,0.0018768433282688355
Nigeria,2012,10-14,0.018682399213372666
Peru,2012,10-14,0.0017889087656529517
Poland,2012,10-14,5.333333333333334e-4
South Africa,2012,10-14,0.003976559229803265
Spain,2012,10-14,4.526935264825713e-4
United States of America,2012,10-14,7.214660189505074e-4
Argentina,2012,15-19,0.0036754311563471868
Brazil,2012,15-19,0.005568122498694972
France,2012,15-19,0.0013252054068380599
Germany,2012,15-19,0.001203659123736158
Iran,2012,15-19,0.002824858757062147
Italy,2012,15-19,0.0010485844110450892
Kenya,2012,15-19,0.008849557522123894
Mexico,2012,15-19,0.004037685060565276
Nigeria,2012,15-19,0.02888680131517144
Peru,2012,15-19,0.004243281471004243
Poland,2012,15-19,0.0017346053772766695
South Africa,2012,15-19,0.006650544135429262
Spain,2012,15-19,8.833922261484099e-4
United States of America,2012,15-19,0.0023089460340456358
Argentina,2012,5-9,0.001119507416736636
Brazil,2012,5-9,0.0012708902586261676
France,2012,5-9,5.090353779587681e-4
Germany,2012,5-9,5.62271577171774e-4
Iran,2012,5-9,0.0013722126929674098
Italy,2012,5-9,3.546099290780142e-4
Kenya,2012,5-9,0.007075471698113208
Mexico,2012,5-9,0.0014163052137735682
Nigeria,2012,5-9,0.0352204859690747
Peru,2012,5-9,0.0031413612565445027
Poland,2012,5-9,5.5005500550055e-4
South Africa,2012,5-9,0.004931939238508582
Spain,2012,5-9,4.306632213608958e-4
United States of America,2012,5-9,5.773949862868691e-4
Argentina,2013,0-4,0.014184397163120567
Brazil,2013,0-4,0.018807495741056217
France,2013,0-4,0.004047558816089046
Germany,2013,0-4,0.004114017043784896
Iran,2013,0-4,0.017760385310054184
Italy,2013,0-4,0.0036258158085569255
Kenya,2013,0-4,0.05856432125088842
Mexico,2013,0-4,0.017755174875089222
Nigeria,2013,0-4,0.13457925110723393
Peru,2013,0-4,0.017974421016246113
Poland,2013,0-4,0.005022601707684581
South Africa,2013,0-4,0.04452113891285591
Spain,2013,0-4,0.0033030553261767133
United States of America,2013,0-4,0.006857366771159875
Argentina,2013,10-14,0.001422070534698521
Brazil,2013,10-14,0.0017282479141835518
France,2013,10-14,5.140066820868671e-4
Germany,2013,10-14,5.151983513652757e-4
Iran,2013,10-14,0.0014479638009049773
Italy,2013,10-14,3.5829451809387314e-4
Kenya,2013,10-14,0.005209237714881056
Mexico,2013,10-14,0.0018704907811525786
Nigeria,2013,10-14,0.01807974117423161
Peru,2013,10-14,0.0018005041411595247
Poland,2013,10-14,5.50357732526142e-4
South Africa,2013,10-14,0.003963287442636629
Spain,2013,10-14,4.5413260672116256e-4
United States of America,2013,10-14,7.220564166746895e-4
Argentina,2013,15-19,0.003697383390216155
Brazil,2013,15-19,0.005552342394447658
France,2013,15-19,0.0013217023526301878
Germany,2013,15-19,0.0011956001912960307
Iran,2013,15-19,0.0029644268774703555
Italy,2013,15-19,0.0010526315789473684
Kenya,2013,15-19,0.008519269776876268
Mexico,2013,15-19,0.004053688856859743
Nigeria,2013,15-19,0.028085397876469916
Peru,2013,15-19,0.00430416068866571
Poland,2013,15-19,0.0018206645425580337
South Africa,2013,15-19,0.006705954074375127
Spain,2013,15-19,8.88494002665482e-4
United States of America,2013,15-19,0.002332174867386135
Argentina,2013,5-9,0.001117006422786931
Brazil,2013,5-9,0.0012938284383490748
France,2013,5-9,5.055611729019212e-4
Germany,2013,5-9,5.657708628005657e-4
Iran,2013,5-9,0.0013458950201884253
Italy,2013,5-9,3.5236081747709656e-4
Kenya,2013,5-9,0.0069124423963133645
Mexico,2013,5-9,0.0014212115828744004
Nigeria,2013,5-9,0.03426320187830793
Peru,2013,5-9,0.003105590062111801
Poland,2013,5-9,5.336179295624333e-4
South Africa,2013,5-9,0.004796623177283192
Spain,2013,5-9,4.1911148365465214e-4
United States of America,2013,5-9,5.7474016954835e-4
Argentina,2014,0-4,0.014073071718538565
Brazil,2014,0-4,0.018838304552590265
France,2014,0-4,0.004071246819338422
Germany,2014,0-4,0.004082822980460776
Iran,2014,0-4,0.0173836181496759
Italy,2014,0-4,0.003703703703703704
Kenya,2014,0-4,0.05856432125088842
Mexico,2014,0-4,0.017709353030168195
Nigeria,2014,0-4,0.13160312356453835
Peru,2014,0-4,0.018374558303886925
Poland,2014,0-4,0.005192107995846314
South Africa,2014,0-4,0.044368013757523646
Spain,2014,0-4,0.003451251078515962
United States of America,2014,0-4,0.0069475460274924326
Argentina,2014,10-14,0.0014156285390713476
Brazil,2014,10-14,0.0017552354436508896
France,2014,10-14,5.092946269416857e-4
Germany,2014,10-14,5.202913631633715e-4
Iran,2014,10-14,0.001446393057313325
Italy,2014,10-14,3.5549235691432633e-4
Kenya,2014,10-14,0.00508646998982706
Mexico,2014,10-14,0.0018645121193287756
Nigeria,2014,10-14,0.017505067256311038
Peru,2014,10-14,0.0018018018018018018
Poland,2014,10-14,5.627462014631402e-4
South Africa,2014,10-14,0.003934562021122386
Spain,2014,10-14,4.5392646391284613e-4
United States of America,2014,10-14,7.226129684940746e-4
Argentina,2014,15-19,0.0037174721189591076
Brazil,2014,15-19,0.005547850208044383
France,2014,15-19,0.0013150973172014729
Germany,2014,15-19,0.0011887779362815027
Iran,2014,15-19,0.0030906593406593405
Italy,2014,15-19,0.001056338028169014
Kenya,2014,15-19,0.008209538702111024
Mexico,2014,15-19,0.00406871609403255
Nigeria,2014,15-19,0.02724856003544528
Peru,2014,15-19,0.004358881220486742
Poland,2014,15-19,0.0019120458891013384
South Africa,2014,15-19,0.006755373592630501
Spain,2014,15-19,8.932559178204555e-4
United States of America,2014,15-19,0.0023584905660377358
Argentina,2014,5-9,0.0011145165784341043
Brazil,2014,5-9,0.00131639570854999
France,2014,5-9,5.033979360684622e-4
Germany,2014,5-9,5.681818181818182e-4
