GEO_ID,id,group,age,category
S1002_C02_005E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,Non-Hispanic American Indian or Alaska Native,30+,primary caregiver
S1002_C02_006E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,Non-Hispanic Asian,30+,primary caregiver
S1002_C02_007E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,Non-Hispanic Native Hawaiian or Other Pacific Islander,30+,primary caregiver
S1002_C02_008E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,Unknown,30+,primary caregiver
S1002_C02_009E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Non-Hispanic More than one race,30+,primary caregiver
S1002_C02_010E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Hispanic,30+,primary caregiver
S1002_C02_011E,"Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",,,
S1002_C02_012E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Male,Male,30+,primary caregiver
S1002_C02_013E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Female,Female,30+,primary caregiver
S1002_C02_027E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households,Total_pc,30+,primary caregiver
S1002_C02_028E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households!!PRESENCE OF PARENT(S) OF GRANDCHILDREN!!Householder or spouse responsible for grandchildren with no parent of grandchildren present,sg,30+,primary caregiver
S1002_C02_031E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!PERCENT ALLOCATED!!Grandparents living with grandchildren,,,
S1002_C02_032E,Estimate!!Total!!Percent distribution of grandparents responsible for grandchildren!!PERCENT ALLOCATED!!Grandparents responsible for grandchildren,,,
S1002_C03_001E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years,,,
S1002_C03_002E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,,,
S1002_C03_003E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,,,
S1002_C03_004E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,,,
S1002_C03_005E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,,,
S1002_C03_006E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,,,
S1002_C03_007E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,,,
S1002_C03_008E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,,,
S1002_C03_009E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,,,
S1002_C03_010E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),,,
S1002_C03_011E,"Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",,,
S1002_C03_012E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Male,,,
S1002_C03_013E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Female,,,
S1002_C03_027E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households,,,
S1002_C03_028E,Estimate!!30 to 59 years!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households!!PRESENCE OF PARENT(S) OF GRANDCHILDREN!!Householder or spouse responsible for grandchildren with no parent of grandchildren present,,,
S1002_C04_001E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years,,,
S1002_C04_002E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,,,
S1002_C04_003E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,,,
S1002_C04_004E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,,,
S1002_C04_005E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,,,
S1002_C04_006E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,,,
S1002_C04_007E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,,,
S1002_C04_008E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,,,
S1002_C04_009E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,,,
S1002_C04_010E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),,,
S1002_C04_011E,"Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",,,
S1002_C04_012E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Male,,,
S1002_C04_013E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years!!SEX!!Female,,,
S1002_C04_027E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households,,,
S1002_C04_028E,Estimate!!60 years and over!!Percent distribution of grandparents responsible for grandchildren!!Grandparents living with own grandchildren under 18 years in households!!PRESENCE OF PARENT(S) OF GRANDCHILDREN!!Householder or spouse responsible for grandchildren with no parent of grandchildren present,,,
