V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
306,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
49,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,35-39,35-39,total-registered-deaths,Total registered deaths
991,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,90+,90+,total-registered-deaths,Total registered deaths
25,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
69,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,0-1,0-1,total-registered-deaths,Total registered deaths
77,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
118,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,40-44,40-44,total-registered-deaths,Total registered deaths
106,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,50-54,50-54,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,5-9,5-9,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2924,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,90+,90+,total-registered-deaths,Total registered deaths
72,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,40-44,40-44,total-registered-deaths,Total registered deaths
106,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1080,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,80-84,80-84,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
461,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,5-9,5-9,total-registered-deaths,Total registered deaths
22,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
367,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
19,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
35,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,25-29,25-29,total-registered-deaths,Total registered deaths
14,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,20-24,20-24,total-registered-deaths,Total registered deaths
19,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,25-29,25-29,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
752,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,all-ages,All ages,total-registered-deaths,Total registered deaths
45,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
537,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,5-9,5-9,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,1-4,1-4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
8422,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1350,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
70,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,35-39,35-39,total-registered-deaths,Total registered deaths
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,0-1,0-1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,1-4,1-4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
338,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
224,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
200,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,50-54,50-54,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
803,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,65-69,65-69,total-registered-deaths,Total registered deaths
726,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,75-79,75-79,total-registered-deaths,Total registered deaths
2103,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,80-84,80-84,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,0-1,0-1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
176,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,40-44,40-44,total-registered-deaths,Total registered deaths
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,0-1,0-1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,1-4,1-4,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
16,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,25-29,25-29,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
783,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
2421,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
12990,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,10-14,10-14,total-registered-deaths,Total registered deaths
886,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1612,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,75-79,75-79,total-registered-deaths,Total registered deaths
4,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,5-9,5-9,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,0-1,0-1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,1-4,1-4,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,5-9,5-9,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,5-9,5-9,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,5-9,5-9,total-registered-deaths,Total registered deaths
166,,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1190,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,65-69,65-69,total-registered-deaths,Total registered deaths
18676,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,all-ages,All ages,total-registered-deaths,Total registered deaths
134,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,1-4,1-4,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
672,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1773,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
750,,2021,2021,K04000001,England and Wales,week-3,Week 3,male,Male,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
166,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-3,Week 3,female,Female,all-ages,All ages,total-registered-deaths,Total registered deaths
4,,2021,2021,K04000001,England and Wales,week-3,Week 3,female,Female,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
7,,2020,2020,K04000001,England and Wales,week-3,Week 3,all,All,1-4,1-4,total-registered-deaths,Total registered deaths
21,,2020,2020,K04000001,England and Wales,week-3,Week 3,male,Male,20-24,20-24,total-registered-deaths,Total registered deaths
2,,2021,2021,K04000001,England and Wales,week-3,Week 3,all,All,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
