"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Mauritania","1,400 [1,400 - 1,500]","3.7% [2.7% - 4.8%]","9.4% [7.9% - 10.9%]","5.6% [4.4% - 6.8%]","16.3% [14.2% - 18.2%]","16.7% [14.8% - 18.7%]","48.4% [45.7% - 51.1%]"
"Mauritius","0 [0 - 100]","2.1% [0.0% - 16.7%]","11.0% [0.0% - 40.0%]","3.4% [0.0% - 22.3%]","15.7% [0.0% - 50.0%]","13.0% [0.0% - 42.9%]","54.8% [16.6% - 87.5%]"
"Mozambique","3,500 [3,400 - 3,600]","2.6% [1.9% - 3.2%]","2.9% [2.3% - 3.6%]","4.3% [3.5% - 5.1%]","9.5% [8.4% - 10.6%]","16.4% [14.8% - 18.0%]","64.3% [62.3% - 66.4%]"
"Namibia","5,100 [4,200 - 5,800]","3.7% [3.1% - 4.3%]","8.5% [7.6% - 9.4%]","5.7% [5.0% - 6.5%]","15.1% [14.0% - 16.2%]","19.2% [17.9% - 20.4%]","47.8% [46.4% - 49.3%]"
"Niger","400 [300 - 400]","4.0% [2.0% - 6.2%]","10.4% [7.4% - 13.7%]","5.7% [3.3% - 8.3%]","18.9% [14.9% - 23.2%]","11.1% [7.9% - 14.4%]","49.8% [44.7% - 55.1%]"
"Nigeria","5,500 [5,300 - 5,900]","2.8% [2.3% - 3.2%]","16.0% [15.5% - 16.5%]","3.7% [3.2% - 4.2%]","21.6% [21.1% - 22.2%]","8.0% [7.1% - 8.9%]","47.9% [46.8% - 48.9%]"
"Rwanda","2,300 [2,100 - 2,400]","3.4% [2.6% - 4.1%]","6.4% [5.4% - 7.5%]","5.8% [4.8% - 6.9%]","13.2% [11.8% - 14.6%]","20.8% [19.0% - 22.7%]","50.3% [48.2% - 52.5%]"
"Sao Tome and Principe","100 [0 - 200]","3.7% [0.0% - 8.0%]","13.2% [7.0% - 20.8%]","5.7% [1.9% - 10.9%]","18.7% [11.2% - 27.0%]","17.2% [9.9% - 25.1%]","41.6% [31.6% - 51.5%]"
"Senegal","3,400 [3,300 - 3,500]","3.8% [3.2% - 4.5%]","9.7% [8.6% - 10.8%]","5.8% [5.0% - 6.6%]","16.6% [15.2% - 18.0%]","16.4% [15.1% - 17.8%]","47.6% [45.7% - 49.4%]"
"Seychelles","100 [0 - 100]","1.7% [0.0% - 5.8%]","8.9% [1.9% - 17.7%]","2.8% [0.0% - 8.2%]","15.0% [6.1% - 25.0%]","11.8% [4.3% - 20.9%]","59.7% [47.2% - 71.9%]"
"Sierra Leone","200 [200 - 300]","3.6% [1.4% - 6.6%]","9.5% [5.6% - 13.6%]","5.5% [2.8% - 8.8%]","17.0% [11.8% - 22.2%]","14.0% [9.4% - 19.2%]","50.3% [43.0% - 57.3%]"
"South Africa","134,500 [131,600 - 137,200]","5.0% [4.8% - 5.3%]","15.0% [14.5% - 15.5%]","7.7% [7.4% - 8.0%]","18.8% [18.3% - 19.3%]","18.5% [18.0% - 19.0%]","34.9% [34.2% - 35.6%]"
"South Sudan","200 [200 - 300]","3.1% [1.2% - 5.4%]","6.0% [3.3% - 9.2%]","4.6% [2.0% - 7.5%]","13.7% [9.1% - 18.3%]","15.0% [10.8% - 20.0%]","57.6% [51.4% - 64.0%]"
"Togo","400 [400 - 500]","3.6% [1.8% - 5.5%]","7.5% [5.1% - 10.2%]","5.6% [3.5% - 7.9%]","15.2% [11.9% - 18.5%]","15.7% [12.3% - 19.2%]","52.4% [47.7% - 57.0%]"
"Uganda","5,800 [5,700 - 5,900]","5.1% [4.2% - 6.1%]","14.9% [13.4% - 16.4%]","6.6% [5.6% - 7.7%]","21.4% [19.7% - 23.1%]","11.0% [9.9% - 12.2%]","40.8% [38.8% - 42.9%]"
"United Republic of Tanzania","1,300 [1,300 - 1,400]","3.4% [2.4% - 4.5%]","6.5% [5.1% - 8.0%]","5.3% [4.0% - 6.6%]","14.1% [12.2% - 16.2%]","15.5% [13.4% - 17.6%]","55.1% [52.4% - 57.9%]"
"Zambia","6,600 [6,500 - 6,700]","4.3% [3.6% - 5.0%]","12.7% [11.6% - 13.8%]","6.5% [5.7% - 7.3%]","19.1% [17.9% - 20.3%]","14.7% [13.6% - 15.7%]","42.7% [41.3% - 44.3%]"
"Zimbabwe","8,000 [7,500 - 8,300]","7.3% [6.7% - 8.0%]","18.2% [17.2% - 19.3%]","8.1% [7.6% - 8.7%]","20.9% [19.9% - 21.7%]","12.6% [11.8% - 13.6%]","32.8% [31.5% - 34.1%]"
"Antigua and Barbuda","0 [0 - 100]","2.0% [0.0% - 10.0%]","8.7% [0.0% - 22.3%]","3.6% [0.0% - 13.7%]","15.2% [0.0% - 31.3%]","13.5% [0.0% - 29.5%]","57.0% [35.7% - 77.8%]"
"Argentina","30,300 [29,400 - 30,900]","3.2% [3.0% - 3.4%]","11.1% [10.5% - 11.6%]","4.8% [4.6% - 5.1%]","16.8% [16.1% - 17.4%]","15.0% [14.5% - 15.5%]","49.2% [48.3% - 50.0%]"
"Bahamas","100 [0 - 200]","2.7% [0.0% - 6.9%]","9.9% [3.5% - 17.8%]","3.8% [0.0% - 8.9%]","15.8% [7.1% - 25.0%]","14.6% [6.6% - 23.3%]","53.3% [41.8% - 65.2%]"
"Barbados","0 [0 - 100]","1.3% [0.0% - 10.0%]","7.4% [0.0% - 23.1%]","2.2% [0.0% - 11.8%]","14.2% [0.0% - 35.3%]","11.3% [0.0% - 30.8%]","63.6% [36.3% - 90.0%]"
"Belize","200 [100 - 400]","2.8% [0.6% - 5.6%]","7.6% [3.9% - 12.1%]","4.5% [1.6% - 7.9%]","14.1% [8.8% - 19.1%]","18.4% [12.7% - 25.2%]","52.6% [44.7% - 60.3%]"
"Bolivia (Plurinational State of)","14,600 [9,300 - 20,000]","4.3% [3.9% - 4.7%]","14.4% [13.7% - 15.1%]","6.4% [5.9% - 6.9%]","18.7% [17.9% - 19.5%]","17.6% [16.9% - 18.3%]","38.7% [37.8% - 39.6%]"
"Brazil","169,900 [167,300 - 172,500]","3.3% [3.2% - 3.4%]","15.6% [15.0% - 16.2%]","5.0% [4.8% - 5.2%]","19.7% [19.2% - 20.2%]","14.4% [14.1% - 14.7%]","42.0% [41.4% - 42.6%]"
"Canada","2,000 [900 - 3,500]","4.3% [3.4% - 5.4%]","15.3% [13.6% - 17.2%]","6.6% [5.4% - 7.9%]","19.3% [17.4% - 21.4%]","14.8% [12.9% - 16.4%]","39.7% [37.3% - 42.1%]"
"Chile","3,500 [1,600 - 6,500]","2.5% [1.9% - 3.1%]","10.9% [9.7% - 12.1%]","4.0% [3.3% - 4.7%]","17.0% [15.7% - 18.4%]","13.3% [12.1% - 14.5%]","52.4% [50.4% - 54.2%]"
"Colombia","55,300 [53,700 - 56,600]","2.8% [2.6% - 3.0%]","10.8% [10.2% - 11.3%]","4.6% [4.3% - 4.9%]","16.6% [16.0% - 17.2%]","15.2% [14.7% - 15.7%]","50.1% [49.1% - 51.0%]"
"Costa Rica","800 [300 - 1,400]","3.0% [1.7% - 4.4%]","10.7% [8.5% - 13.0%]","4.7% [3.0% - 6.3%]","16.6% [13.9% - 19.5%]","15.1% [12.5% - 17.9%]","50.0% [46.3% - 53.8%]"
"Cuba","700 [300 - 1,300]","0.7% [0.1% - 1.5%]","2.7% [1.4% - 4.0%]","1.4% [0.5% - 2.6%]","8.5% [6.3% - 10.9%]","9.8% [7.4% - 12.3%]","76.9% [73.5% - 80.5%]"
"Dominica","0 [0 - 100]","2.1% [0.0% - 33.4%]","9.1% [0.0% - 50.0%]","4.5% [0.0% - 50.0%]","16.1% [0.0% - 66.7%]","13.2% [0.0% - 60.0%]","55.0% [0.0% - 100.0%]"
"Dominican Republic","1,700 [900 - 2,800]","2.8% [2.0% - 3.7%]","10.1% [8.6% - 11.7%]","4.3% [3.3% - 5.4%]","16.2% [14.3% - 18.0%]","15.9% [14.0% - 17.7%]","50.5% [48.1% - 53.0%]"
"Ecuador","16,300 [9,400 - 25,500]","3.7% [3.4% - 4.0%]","13.9% [13.4% - 14.6%]","5.6% [5.2% - 6.0%]","18.6% [17.9% - 19.3%]","16.3% [15.7% - 17.0%]","41.8% [41.0% - 42.7%]"
"El Salvador","800 [400 - 1,400]","4.6% [3.1% - 6.2%]","14.6% [12.0% - 17.2%]","6.4% [4.6% - 8.2%]","19.1% [16.2% - 22.1%]","15.4% [12.8% - 18.3%]","39.9% [36.3% - 43.4%]"
"Grenada","0 [0 - 100]","2.1% [0.0% - 7.2%]","9.5% [1.4% - 19.1%]","4.0% [0.0% - 11.2%]","16.0% [6.2% - 28.9%]","15.0% [4.8% - 26.4%]","53.4% [38.6% - 69.3%]"
"Guatemala","13,300 [8,800 - 17,800]","3.7% [3.3% - 4.2%]","8.4% [7.8% - 9.0%]","5.9% [5.4% - 6.4%]","14.9% [14.1% - 15.6%]","19.4% [18.5% - 20.2%]","47.8% [46.7% - 48.9%]"
"Guyana","500 [200 - 800]","2.1% [0.7% - 3.6%]","8.0% [5.6% - 10.8%]","2.9% [1.3% - 4.5%]","14.4% [10.9% - 18.1%]","16.0% [12.4% - 19.6%]","56.6% [51.6% - 61.4%]"
"Haiti","700 [400 - 900]","4.5% [3.0% - 6.1%]","17.7% [14.8% - 20.7%]","6.5% [4.7% - 8.4%]","20.1% [16.8% - 23.3%]","16.8% [13.9% - 19.8%]","34.3% [30.5% - 38.1%]"
"Honduras","5,000 [2,900 - 7,800]","3.8% [3.2% - 4.5%]","14.5% [13.5% - 15.6%]","6.0% [5.3% - 6.9%]","18.3% [17.1% - 19.6%]","19.6% [18.3% - 20.9%]","37.6% [36.2% - 39.1%]"
"Jamaica","400 [200 - 800]","2.2% [0.9% - 3.9%]","11.1% [8.1% - 14.2%]","3.7% [1.9% - 5.9%]","17.1% [13.5% - 21.1%]","14.8% [11.2% - 18.5%]","51.0% [46.1% - 55.7%]"
"Mexico","192,500 [191,000 - 194,000]","3.4% [3.3% - 3.6%]","9.8% [9.7% - 9.9%]","5.9% [5.8% - 6.1%]","16.7% [16.5% - 16.8%]","18.1% [17.8% - 18.3%]","46.1% [45.9% - 46.4%]"
"Nicaragua","100 [0 - 200]","4.7% [0.8% - 9.0%]","19.1% [11.1% - 27.8%]","6.5% [1.8% - 11.9%]","20.3% [12.0% - 29.6%]","16.0% [8.5% - 24.3%]","33.4% [23.8% - 43.8%]"
"Panama","3,900 [2,200 - 5,900]","3.4% [2.7% - 4.0%]","15.0% [13.7% - 16.2%]","5.3% [4.5% - 6.1%]","19.3% [17.9% - 20.6%]","14.9% [13.7% - 16.0%]","42.2% [40.5% - 43.9%]"
"Paraguay","8,200 [4,700 - 12,300]","4.3% [3.8% - 4.9%]","21.6% [20.5% - 22.6%]","5.9% [5.3% - 6.6%]","21.8% [20.8% - 22.9%]","13.2% [12.3% - 14.0%]","33.1% [31.9% - 34.3%]"
"Peru","80,200 [77,700 - 81,800]","3.3% [3.1% - 3.6%]","12.7% [12.0% - 13.5%]","5.2% [4.9% - 5.4%]","18.6% [17.7% - 19.3%]","14.2% [13.8% - 14.8%]","46.0% [44.9% - 46.9%]"
"Saint Kitts and Nevis","0 [0 - 100]","1.5% [0.0% - 33.4%]","5.6% [0.0% - 100.0%]","2.6% [0.0% - 50.0%]","13.6% [0.0% - 100.0%]","13.8% [0.0% - 100.0%]","62.8% [0.0% - 100.0%]"
"Saint Lucia","0 [0 - 100]","2.2% [0.0% - 12.6%]","14.1% [0.0% - 33.4%]","4.4% [0.0% - 20.0%]","19.0% [0.0% - 44.5%]","12.7% [0.0% - 35.8%]","47.6% [19.9% - 77.9%]"
"Saint Vincent and the Grenadines","0 [0 - 100]","2.0% [0.0% - 14.3%]","10.8% [0.0% - 33.4%]","3.1% [0.0% - 18.2%]","17.4% [0.0% - 44.5%]","13.3% [0.0% - 40.0%]","53.4% [22.2% - 84.7%]"
"Suriname","500 [200 - 900]","2.9% [1.5% - 4.5%]","17.7% [14.3% - 21.2%]","4.5% [2.8% - 6.5%]","20.2% [16.9% - 23.9%]","13.7% [10.8% - 16.7%]","40.9% [36.5% - 45.5%]"
"Trinidad and Tobago","200 [0 - 400]","2.0% [0.0% - 4.5%]","8.0% [4.2% - 12.5%]","3.5% [1.0% - 6.8%]","14.7% [9.3% - 20.2%]","13.5% [8.4% - 19.1%]","58.3% [50.8% - 66.0%]"
"Uruguay","1,200 [600 - 2,100]","3.8% [2.7% - 5.1%]","14.7% [12.6% - 16.8%]","5.7% [4.4% - 7.2%]","19.4% [17.1% - 21.8%]","14.8% [12.8% - 16.9%]","41.5% [38.3% - 44.6%]"
"USA","149,300 [148,500 - 150,200]","5.5% [5.4% - 5.6%]","14.8% [14.6% - 14.9%]","7.5% [7.4% - 7.6%]","18.0% [17.9% - 18.1%]","16.6% [16.4% - 16.8%]","37.7% [37.5% - 37.8%]"
"Venezuela (Bolivarian Republic of)","1,800 [1,000 - 3,100]","3.1% [2.3% - 4.0%]","10.8% [9.3% - 12.5%]","4.9% [3.8% - 5.9%]","16.8% [15.0% - 18.8%]","15.7% [13.9% - 17.4%]","48.6% [46.2% - 51.0%]"
"Belarus","600 [300 - 1,100]","2.2% [1.0% - 3.5%]","10.8% [7.9% - 13.7%]","3.9% [2.2% - 5.8%]","17.3% [14.0% - 20.5%]","12.2% [9.4% - 15.2%]","53.7% [49.0% - 57.9%]"
"Bulgaria","2,300 [1,000 - 4,200]","3.0% [2.2% - 4.0%]","20.6% [18.5% - 22.8%]","5.2% [4.2% - 6.4%]","22.7% [20.6% - 24.8%]","11.2% [9.6% - 12.8%]","37.2% [34.8% - 39.8%]"
"Czech Republic","3,400 [1,700 - 6,300]","4.0% [3.1% - 4.9%]","20.6% [18.9% - 22.4%]","6.6% [5.5% - 7.7%]","22.2% [20.3% - 23.9%]","12.5% [11.1% - 13.8%]","34.2% [32.0% - 36.1%]"
"Hungary","2,400 [1,100 - 4,500]","3.6% [2.8% - 4.5%]","16.8% [15.1% - 18.5%]","5.8% [4.7% - 6.9%]","21.0% [19.2% - 23.0%]","12.8% [11.3% - 14.5%]","40.0% [37.6% - 42.2%]"
"Poland","6,500 [6,400 - 6,700]","2.9% [2.7% - 3.2%]","12.8% [12.5% - 13.2%]","5.0% [4.7% - 5.3%]","18.3% [18.0% - 18.7%]","13.6% [13.1% - 14.3%]","47.3% [46.6% - 47.9%]"
"Republic of Moldova","300 [100 - 700]","2.2% [0.7% - 4.0%]","8.9% [5.8% - 12.4%]","4.1% [1.8% - 6.7%]","15.8% [11.9% - 20.3%]","14.3% [10.2% - 18.2%]","54.6% [48.6% - 60.6%]"
"Romania","5,000 [2,500 - 8,900]","2.9% [2.4% - 3.5%]","15.0% [13.8% - 16.2%]","4.7% [4.0% - 5.5%]","19.9% [18.6% - 21.3%]","12.3% [11.1% - 13.3%]","45.2% [43.7% - 46.8%]"
"Russian Federation","36,800 [36,800 - 36,900]","1.8% [1.6% - 2.0%]","6.5% [6.1% - 6.9%]","3.3% [3.1% - 3.6%]","13.5% [12.9% - 14.1%]","13.5% [12.9% - 14.1%]","61.4% [60.6% - 62.1%]"
"Slovakia","1,100 [500 - 1,900]","3.0% [1.8% - 4.3%]","12.8% [10.6% - 15.1%]","4.9% [3.6% - 6.4%]","18.5% [15.9% - 21.0%]","13.4% [11.0% - 15.6%]","47.4% [43.9% - 50.9%]"
"Ukraine","4,300 [2,100 - 7,900]","2.3% [1.7% - 2.8%]","10.2% [9.2% - 11.4%]","4.1% [3.4% - 4.9%]","17.1% [15.7% - 18.5%]","12.6% [11.4% - 13.9%]","53.7% [51.8% - 55.5%]"
"Afghanistan","12,700 [12,200 - 13,100]","4.9% [4.4% - 5.5%]","13.0% [12.2% - 13.8%]","6.8% [6.1% - 7.4%]","19.2% [18.3% - 20.2%]","13.9% [13.1% - 14.8%]","42.2% [41.0% - 43.4%]"
"Bahrain","300 [100 - 500]","6.5% [3.5% - 9.8%]","20.0% [14.7% - 25.5%]","7.7% [4.3% - 11.6%]","19.2% [14.5% - 24.2%]","15.9% [11.4% - 21.1%]","30.6% [24.8% - 36.3%]"
"Djibouti","100 [0 - 200]","6.1% [2.2% - 10.8%]","19.4% [13.2% - 26.4%]","7.8% [3.2% - 13.2%]","20.7% [13.3% - 28.6%]","15.7% [9.5% - 22.4%]","30.2% [22.1% - 38.6%]"
"Egypt","25,900 [21,100 - 29,400]","2.2% [1.8% - 2.7%]","2.3% [1.9% - 2.6%]","3.4% [2.9% - 3.9%]","8.0% [7.2% - 8.8%]","15.1% [13.8% - 16.3%]","69.1% [67.3% - 70.6%]"
"I.R. Iran","71,200 [70,300 - 72,000]","3.7% [3.5% - 3.9%]","13.2% [12.9% - 13.4%]","5.2% [5.0% - 5.3%]","18.0% [17.8% - 18.2%]","13.2% [12.9% - 13.5%]","46.7% [46.4% - 47.1%]"
"Iraq","37,300 [33,300 - 39,700]","2.7% [2.5% - 3.1%]","5.8% [5.4% - 6.1%]","4.7% [4.4% - 5.1%]","12.4% [11.9% - 13.0%]","20.0% [19.3% - 20.8%]","54.3% [53.5% - 55.2%]"
"Jordan","8,600 [5,500 - 12,100]","2.8% [2.4% - 3.3%]","6.8% [6.2% - 7.5%]","4.7% [4.1% - 5.3%]","13.3% [12.4% - 14.1%]","19.8% [18.8% - 20.9%]","52.5% [51.2% - 53.8%]"
"Kuwait","600 [300 - 1,100]","10.3% [7.7% - 13.0%]","21.6% [18.1% - 25.1%]","12.0% [9.2% - 14.8%]","18.7% [15.4% - 21.9%]","15.4% [12.3% - 18.6%]","22.0% [18.5% - 25.5%]"
"Lebanon","2,200 [1,100 - 3,700]","2.5% [1.8% - 3.3%]","14.0% [12.4% - 15.6%]","4.2% [3.2% - 5.1%]","18.3% [16.5% - 20.0%]","15.0% [13.2% - 16.7%]","46.0% [43.7% - 48.2%]"
"Libya","1,700 [900 - 2,700]","1.7% [1.1% - 2.5%]","2.5% [1.6% - 3.3%]","3.3% [2.4% - 4.4%]","8.1% [6.7% - 9.6%]","17.3% [15.3% - 19.4%]","67.0% [64.4% - 69.6%]"
"Morocco","6,900 [3,900 - 10,900]","2.4% [2.0% - 2.8%]","8.8% [8.1% - 9.6%]","4.0% [3.4% - 4.5%]","15.3% [14.4% - 16.3%]","15.6% [14.6% - 16.5%]","54.0% [52.7% - 55.3%]"
"Occupied Palestinian Territory","7,800 [7,100 - 8,200]","3.8% [3.2% - 4.4%]","12.8% [11.8% - 13.8%]","6.6% [5.8% - 7.4%]","17.9% [16.8% - 19.1%]","19.6% [18.4% - 20.9%]","39.3% [37.8% - 40.7%]"
"Oman","3,300 [2,000 - 4,600]","8.9% [7.5% - 10.5%]","10.9% [9.6% - 12.3%]","11.1% [9.6% - 12.6%]","15.7% [14.2% - 17.4%]","19.5% [17.7% - 21.3%]","33.9% [31.8% - 36.0%]"
"Pakistan","42,200 [36,100 - 46,600]","2.9% [2.7% - 3.2%]","7.1% [6.8% - 7.5%]","4.7% [4.5% - 5.1%]","14.2% [13.7% - 14.7%]","17.0% [16.4% - 17.5%]","54.0% [53.2% - 54.7%]"
"Qatar","100 [0 - 200]","20.8% [11.4% - 31.0%]","36.2% [26.0% - 46.7%]","16.9% [9.2% - 25.6%]","13.1% [5.7% - 21.1%]","8.5% [2.7% - 15.2%]","4.5% [0.0% - 9.6%]"
"Saudi Arabia","3,200 [1,700 - 5,200]","4.4% [3.6% - 5.2%]","13.7% [12.3% - 15.0%]","6.9% [5.9% - 8.0%]","16.8% [15.2% - 18.3%]","20.6% [19.0% - 22.2%]","37.5% [35.6% - 39.5%]"
"Somalia","2,200 [2,200 - 2,300]","3.0% [2.2% - 3.9%]","8.4% [7.1% - 9.8%]","4.4% [3.5% - 5.5%]","16.2% [14.5% - 18.0%]","12.4% [11.0% - 14.1%]","55.6% [53.3% - 58.0%]"
"Sudan","5,600 [5,400 - 5,700]","3.3% [2.8% - 4.0%]","11.7% [10.8% - 12.7%]","5.1% [4.4% - 5.8%]","18.4% [17.1% - 19.6%]","14.6% [13.6% - 15.8%]","46.8% [45.3% - 48.3%]"
"Syrian Arab Republic","2,200 [1,400 - 3,000]","3.8% [2.9% - 4.8%]","9.3% [8.0% - 10.6%]","5.8% [4.8% - 6.9%]","15.9% [14.3% - 17.5%]","17.2% [15.6% - 19.0%]","47.9% [45.6% - 50.2%]"
