V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
367,,2021,2021,K04000001,England and Wales,week-3,Week 03,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
138,,2021,2021,K04000001,England and Wales,week-13,Week 13,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
9,,2021,2021,K04000001,England and Wales,week-1,Week 01,male,Male,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1289,,2020,2020,K04000001,England and Wales,week-36,Week 36,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-37,Week 37,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
256,,2020,2020,K04000001,England and Wales,week-22,Week 22,male,Male,60-64,60-64,total-registered-deaths,Total registered deaths
122,,2020,2020,K04000001,England and Wales,week-22,Week 22,male,Male,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2020,2020,K04000001,England and Wales,week-32,Week 32,all,All,10-14,10-14,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-10,Week 10,female,Female,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
50,,2020,2020,K04000001,England and Wales,week-15,Week 15,female,Female,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1690,,2020,2020,K04000001,England and Wales,week-14,Week 14,all,All,70-74,70-74,total-registered-deaths,Total registered deaths
267,,2020,2020,K04000001,England and Wales,week-42,Week 42,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
44,,2020,2020,K04000001,England and Wales,week-27,Week 27,all,All,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
5,,2020,2020,K04000001,England and Wales,week-48,Week 48,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-34,Week 34,all,All,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-33,Week 33,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
223,,2020,2020,K04000001,England and Wales,week-39,Week 39,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-17,Week 17,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
177,,2020,2020,K04000001,England and Wales,week-51,Week 51,all,All,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-39,Week 39,male,Male,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-40,Week 40,female,Female,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
9,,2020,2020,K04000001,England and Wales,week-50,Week 50,male,Male,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-44,Week 44,male,Male,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
990,,2020,2020,K04000001,England and Wales,week-53,Week 53,all,All,70-74,70-74,total-registered-deaths,Total registered deaths
243,,2020,2020,K04000001,England and Wales,week-46,Week 46,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
196,,2020,2020,K04000001,England and Wales,week-43,Week 43,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-34,Week 34,female,Female,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2020,2020,K04000001,England and Wales,week-21,Week 21,all,All,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
16,,2020,2020,K04000001,England and Wales,week-24,Week 24,all,All,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
533,,2020,2020,K04000001,England and Wales,week-22,Week 22,male,Male,70-74,70-74,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-3,Week 03,all,All,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
99,,2020,2020,K04000001,England and Wales,week-48,Week 48,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
1492,,2020,2020,K04000001,England and Wales,week-21,Week 21,all,All,75-79,75-79,total-registered-deaths,Total registered deaths
24,,2020,2020,K04000001,England and Wales,week-26,Week 26,female,Female,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-40,Week 40,all,All,70-74,70-74,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-49,Week 49,female,Female,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-24,Week 24,all,All,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-19,Week 19,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-42,Week 42,female,Female,65-69,65-69,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-24,Week 24,male,Male,90+,90+,total-registered-deaths,Total registered deaths
,x,2020,2020,K04000001,England and Wales,week-53,Week 53,female,Female,all-ages,All ages,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-24,Week 24,male,Male,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-41,Week 41,female,Female,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-23,Week 23,female,Female,90+,90+,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-33,Week 33,all,All,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-38,Week 38,female,Female,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
30,,2021,2021,K04000001,England and Wales,week-7,Week 07,female,Female,35-39,35-39,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-33,Week 33,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
711,,2020,2020,K04000001,England and Wales,week-50,Week 50,female,Female,75-79,75-79,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-4,Week 04,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
11,,2020,2020,K04000001,England and Wales,week-1,Week 01,female,Female,30-34,30-34,total-registered-deaths,Total registered deaths
43,,2020,2020,K04000001,England and Wales,week-14,Week 14,male,Male,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2021,2021,K04000001,England and Wales,week-9,Week 09,all,All,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2399,,2021,2021,K04000001,England and Wales,week-9,Week 09,all,All,90+,90+,total-registered-deaths,Total registered deaths
22,,2021,2021,K04000001,England and Wales,week-3,Week 03,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
29,,2020,2020,K04000001,England and Wales,week-33,Week 33,male,Male,30-34,30-34,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-50,Week 50,female,Female,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
569,,2021,2021,K04000001,England and Wales,week-3,Week 03,male,Male,60-64,60-64,total-registered-deaths,Total registered deaths
17,,2020,2020,K04000001,England and Wales,week-31,Week 31,female,Female,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
197,,2020,2020,K04000001,England and Wales,week-38,Week 38,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
71,,2020,2020,K04000001,England and Wales,week-51,Week 51,male,Male,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-9,Week 09,male,Male,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1212,,2020,2020,K04000001,England and Wales,week-37,Week 37,all,All,75-79,75-79,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-37,Week 37,female,Female,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3,,2020,2020,K04000001,England and Wales,week-21,Week 21,male,Male,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
561,,2020,2020,K04000001,England and Wales,week-31,Week 31,male,Male,70-74,70-74,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-8,Week 08,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
256,,2020,2020,K04000001,England and Wales,week-25,Week 25,female,Female,65-69,65-69,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-13,Week 13,all,All,5-9,05-09,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-28,Week 28,male,Male,5-9,05-09,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-7,Week 07,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-18,Week 18,male,Male,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-16,Week 16,female,Female,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-18,Week 18,all,All,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-18,Week 18,female,Female,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-25,Week 25,all,All,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-25,Week 25,male,Male,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,female,Female,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-20,Week 20,all,All,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2020,2020,K04000001,England and Wales,week-5,Week 05,female,Female,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-23,Week 23,all,All,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-22,Week 22,all,All,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-27,Week 27,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-16,Week 16,male,Male,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-42,Week 42,male,Male,85-89,85-89,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-51,Week 51,male,Male,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-41,Week 41,male,Male,0-1,00-01,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-40,Week 40,female,Female,30-34,30-34,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-5,Week 05,female,Female,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,male,Male,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-16,Week 16,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-52,Week 52,female,Female,5-9,05-09,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-32,Week 32,female,Female,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-33,Week 33,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,female,Female,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-52,Week 52,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
137,,2020,2020,K04000001,England and Wales,week-53,Week 53,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
13,,2020,2020,K04000001,England and Wales,week-26,Week 26,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
475,,2020,2020,K04000001,England and Wales,week-46,Week 46,all,All,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
7,,2021,2021,K04000001,England and Wales,week-10,Week 10,female,Female,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-26,Week 26,female,Female,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2021,2021,K04000001,England and Wales,week-1,Week 01,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-49,Week 49,male,Male,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-26,Week 26,male,Male,all-ages,All ages,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-34,Week 34,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-35,Week 35,male,Male,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-41,Week 41,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-46,Week 46,all,All,1-4,01-04,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-2,Week 02,all,All,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
353,,2021,2021,K04000001,England and Wales,week-1,Week 01,female,Female,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2020,2020,K04000001,England and Wales,week-34,Week 34,male,Male,55-59,55-59,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
42,,2020,2020,K04000001,England and Wales,week-18,Week 18,all,All,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2021,2021,K04000001,England and Wales,week-9,Week 09,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
182,,2020,2020,K04000001,England and Wales,week-8,Week 08,all,All,45-49,45-49,total-registered-deaths,Total registered deaths
209,,2020,2020,K04000001,England and Wales,week-7,Week 07,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
601,,2020,2020,K04000001,England and Wales,week-28,Week 28,male,Male,90+,90+,total-registered-deaths,Total registered deaths
69,,2020,2020,K04000001,England and Wales,week-53,Week 53,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
6,,2020,2020,K04000001,England and Wales,week-10,Week 10,all,All,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
10,,2021,2021,K04000001,England and Wales,week-4,Week 04,male,Male,15-19,15-19,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-35,Week 35,male,Male,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2188,,2020,2020,K04000001,England and Wales,week-4,Week 04,all,All,85-89,85-89,total-registered-deaths,Total registered deaths
904,,2021,2021,K04000001,England and Wales,week-14,Week 14,female,Female,85-89,85-89,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-51,Week 51,female,Female,5-9,05-09,total-registered-deaths,Total registered deaths
194,,2020,2020,K04000001,England and Wales,week-46,Week 46,female,Female,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
19,,2021,2021,K04000001,England and Wales,week-2,Week 02,female,Female,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2020,2020,K04000001,England and Wales,week-47,Week 47,male,Male,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
24,,2020,2020,K04000001,England and Wales,week-26,Week 26,male,Male,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-31,Week 31,female,Female,5-9,05-09,total-registered-deaths,Total registered deaths
21,,2020,2020,K04000001,England and Wales,week-10,Week 10,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
195,,2020,2020,K04000001,England and Wales,week-14,Week 14,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
4,,2020,2020,K04000001,England and Wales,week-34,Week 34,male,Male,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
27,,2020,2020,K04000001,England and Wales,week-45,Week 45,male,Male,0-1,00-01,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-31,Week 31,male,Male,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
8,,2020,2020,K04000001,England and Wales,week-35,Week 35,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-20,Week 20,all,All,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
101,,2020,2020,K04000001,England and Wales,week-32,Week 32,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
9,,2020,2020,K04000001,England and Wales,week-37,Week 37,female,Female,25-29,25-29,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-21,Week 21,female,Female,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
88,,2020,2020,K04000001,England and Wales,week-36,Week 36,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
2,,2020,2020,K04000001,England and Wales,week-35,Week 35,female,Female,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-40,Week 40,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-10,Week 10,female,Female,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
449,,2020,2020,K04000001,England and Wales,week-53,Week 53,all,All,60-64,60-64,total-registered-deaths,Total registered deaths
1306,,2020,2020,K04000001,England and Wales,week-18,Week 18,all,All,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
12,,2020,2020,K04000001,England and Wales,week-35,Week 35,female,Female,30-34,30-34,total-registered-deaths,Total registered deaths
196,,2021,2021,K04000001,England and Wales,week-12,Week 12,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
