country,year,age,value,gender
Argentina,2016,Unknown - Inconnu,6650,Female
Argentina,2017,0 - 14,2493,Female
Argentina,2017,10 - 14,19156,Female
Argentina,2017,15 - 19,91586,Female
Argentina,2017,20 - 24,169299,Female
Argentina,2017,25 - 29,165665,Female
Argentina,2017,30 - 34,142831,Female
Argentina,2017,35 - 39,92677,Female
Argentina,2017,40 +,25471,Female
Argentina,2017,Total,2874466,Female
Argentina,2017,Unknown - Inconnu,14587,Female
Brazil,2003,15 - 19,563454,Female
Brazil,2003,20 - 24,871916,Female
Brazil,2003,25 - 29,675905,Female
Brazil,2003,30 - 34,408699,Female
Brazil,2003,35 - 39,201033,Female
Brazil,2003,40 - 44,53005,Female
Brazil,2003,45 - 49,4386,Female
Brazil,2003,50+     ,579,Female
Brazil,2003,Unk,22624,Female
Brazil,2004,15 - 19,561046,Female
Brazil,2004,20 - 24,864326,Female
Brazil,2004,25 - 29,667869,Female
Brazil,2004,30 - 34,417350,Female
Brazil,2004,35 - 39,204960,Female
Brazil,2004,40 - 44,55621,Female
Brazil,2004,45 - 49,3949,Female
Brazil,2004,50+     ,381,Female
Brazil,2004,Unk,23511,Female
Brazil,2005,0 - 14,6452,Female
Brazil,2005,15 - 19,574484,Female
Brazil,2005,20 - 24,875615,Female
Brazil,2005,25 - 29,689359,Female
Brazil,2005,30 - 34,429018,Female
Brazil,2005,35 - 39,208757,Female
Brazil,2005,40 - 44,56364,Female
Brazil,2005,45 - 49,4129,Female
Brazil,2005,50+,279,Female
Brazil,2006,0 - 14,22159,Female
Brazil,2006,15 - 19,551051,Female
Brazil,2006,20 - 24,833275,Female
Brazil,2006,25 - 29,680961,Female
Brazil,2006,30 - 34,428072,Female
Brazil,2006,35 - 39,210439,Female
Brazil,2006,40 - 44,56579,Female
Brazil,2006,45 - 49,4226,Female
Brazil,2006,50 +,324,Female
Brazil,2006,Unknown - Inconnu,16673,Female
Brazil,2007,0 - 14,22276,Female
Brazil,2007,15 - 19,531898,Female
Brazil,2007,20 - 24,799660,Female
Brazil,2007,25 - 29,683734,Female
Brazil,2007,30 - 34,431445,Female
Brazil,2007,35 - 39,210688,Female
Brazil,2007,40 - 44,56376,Female
Brazil,2007,45 - 49,4142,Female
Brazil,2007,50 +,470,Female
Brazil,2007,Unknown - Inconnu,14487,Female
Brazil,2008,0 - 14,23149,Female
Brazil,2008,15 - 19,519605,Female
Brazil,2008,20 - 24,795565,Female
Brazil,2008,25 - 29,705505,Female
Brazil,2008,30 - 34,456116,Female
Brazil,2008,35 - 39,219274,Female
Brazil,2008,40 - 44,57752,Female
Brazil,2008,45 - 49,4146,Female
Brazil,2008,50 +,336,Female
Brazil,2008,Unknown - Inconnu,16594,Female
Brazil,2009,0 - 14,22665,Female
Brazil,2009,15 - 19,501547,Female
Brazil,2009,20 - 24,780465,Female
Brazil,2009,25 - 29,696349,Female
Brazil,2009,30 - 34,464391,Female
Brazil,2009,35 - 39,220875,Female
Brazil,2009,40 - 44,57811,Female
Brazil,2009,45 - 49,4106,Female
Brazil,2009,50 +,318,Female
Brazil,2009,Unknown - Inconnu,16115,Female
Brazil,2011,0 - 14,21859,Female
Brazil,2011,15 - 19,498365,Female
Brazil,2011,20 - 24,753774,Female
Brazil,2011,25 - 29,707369,Female
Brazil,2011,30 - 34,515553,Female
Brazil,2011,35 - 39,244665,Female
Brazil,2011,40 - 44,60388,Female
Brazil,2011,45 - 49,4052,Female
Brazil,2011,50 +,287,Female
Brazil,2011,Total,250643,Female
Brazil,2012,0 - 14,22932,Female
Brazil,2012,15 - 19,502149,Female
Brazil,2012,20 - 24,736188,Female
Brazil,2012,25 - 29,695726,Female
Brazil,2012,30 - 34,537034,Female
Brazil,2012,35 - 39,254011,Female
Brazil,2012,40 - 44,62371,Female
Brazil,2012,45 - 49,4056,Female
Brazil,2012,50 +,362,Female
Brazil,2012,Unknown - Inconnu,15629,Female
Brazil,2013,0 - 14,22967,Female
Brazil,2013,15 - 19,502255,Female
Brazil,2013,20 - 24,716103,Female
Brazil,2013,25 - 29,685617,Female
Brazil,2013,30 - 34,550031,Female
Brazil,2013,35 - 39,262344,Female
Brazil,2013,40 - 44,63092,Female
Brazil,2013,45 - 49,4055,Female
Brazil,2013,50 +,344,Female
Brazil,2013,Unknown - Inconnu,25782,Female
Brazil,2014,0 - 14,24165,Female
Brazil,2014,15 - 19,507928,Female
Brazil,2014,20 - 24,725828,Female
Brazil,2014,25 - 29,707038,Female
Brazil,2014,30 - 34,573862,Female
Brazil,2014,35 - 39,286000,Female
Brazil,2014,40 - 44,67090,Female
Brazil,2014,45 - 49,4248,Female
Brazil,2014,50 +,417,Female
Brazil,2014,Unknown - Inconnu,16545,Female
Brazil,2015,0 - 14,23187,Female
Brazil,2015,15 - 19,495973,Female
Brazil,2015,20 - 24,733328,Female
Brazil,2015,25 - 29,714459,Female
Brazil,2015,30 - 34,591410,Female
Brazil,2015,35 - 39,306517,Female
Brazil,2015,40 - 44,70792,Female
Brazil,2015,45 - 49,4408,Female
Brazil,2015,50 +,390,Female
Brazil,2015,Unknown - Inconnu,12505,Female
Brazil,2016,0 - 14,20991,Female
Brazil,2016,15 - 19,456140,Female
Brazil,2016,20 - 24,704866,Female
Brazil,2016,25 - 29,668741,Female
Brazil,2016,30 - 34,561136,Female
Brazil,2016,35 - 39,303329,Female
Brazil,2016,40 - 44,71208,Female
Brazil,2016,45 - 49,4265,Female
Brazil,2016,50 +,343,Female
Brazil,2016,Unknown - Inconnu,12061,Female
Brazil,2017,10 - 14,19156,Female
Brazil,2017,15 - 19,437603,Female
Brazil,2017,20 - 24,715776,Female
Brazil,2017,25 - 29,686420,Female
Brazil,2017,30 - 34,586037,Female
Brazil,2017,35 - 39,334720,Female
Brazil,2017,40 - 44,77923,Female
Brazil,2017,45 - 49,4525,Female
Brazil,2017,50 +,364,Female
Brazil,2017,Unknown - Inconnu,11942,Female
Colombia,2003,15 - 19,151346,Female
Colombia,2003,20 - 24,212458,Female
Colombia,2003,25 - 29,154340,Female
Colombia,2003,30 - 34,106235,Female
Colombia,2003,35 - 39,57743,Female
Colombia,2003,40 - 44,15561,Female
Colombia,2003,45 - 49,1193,Female
Colombia,2003,50+     ,93,Female
Colombia,2003,Unk,6483,Female
Colombia,2005,0 - 14,47,Female
Colombia,2005,15 - 19,154478,Female
Colombia,2005,20 - 24,215258,Female
Colombia,2005,25 - 29,160539,Female
Colombia,2005,30 - 34,102659,Female
Colombia,2005,35 - 39,58426,Female
Colombia,2005,40 - 44,16338,Female
Colombia,2005,45 - 49,1271,Female
Colombia,2005,50+,186,Female
Colombia,2006,0 - 14,6479,Female
Colombia,2006,15 - 19,156234,Female
Colombia,2006,20 - 24,210548,Female
Colombia,2006,25 - 29,161333,Female
Colombia,2006,30 - 34,100219,Female
Colombia,2006,35 - 39,56231,Female
Colombia,2006,40 - 44,16001,Female
Colombia,2006,45 - 49,1333,Female
Colombia,2006,50 +,172,Female
Colombia,2006,Unknown - Inconnu,2907,Female
Colombia,2007,0 - 14,6381,Female
Colombia,2007,15 - 19,153068,Female
Colombia,2007,20 - 24,200891,Female
Colombia,2007,25 - 29,156925,Female
Colombia,2007,30 - 34,96035,Female
Colombia,2007,35 - 39,53581,Female
Colombia,2007,40 - 44,15194,Female
Colombia,2007,45 - 49,1244,Female
Colombia,2007,50 +,175,Female
Colombia,2007,Unknown - Inconnu,2365,Female
Colombia,2007,0 - 19,43157,Male
Colombia,2007,20 - 24,161249,Male
Colombia,2007,25 - 29,173790,Male
Colombia,2007,30 - 34,124209,Male
Colombia,2007,35 - 39,82320,Male
Colombia,2007,40 - 44,44157,Male
Colombia,2007,45 - 49,18815,Male
Colombia,2007,50 - 54,7995,Male
Colombia,2007,55 - 59,2744,Male
Colombia,2007,60 - 64,1208,Male
Colombia,2007,65 +,830,Male
Colombia,2007,Unknown - Inconnu,25385,Male
Colombia,2008,0 - 14,6796,Female
Colombia,2008,15 - 19,157530,Female
Colombia,2008,20 - 24,203222,Female
Colombia,2008,25 - 29,160939,Female
Colombia,2008,30 - 34,98413,Female
Colombia,2008,35 - 39,53608,Female
Colombia,2008,40 - 44,15223,Female
Colombia,2008,45 - 49,1282,Female
Colombia,2008,50 +,168,Female
Colombia,2008,Unknown - Inconnu,5349,Female
Colombia,2008,0 - 19,44326,Male
Colombia,2008,20 - 24,163959,Male
Colombia,2008,25 - 29,180765,Male
Colombia,2008,30 - 34,127190,Male
Colombia,2008,35 - 39,82968,Male
Colombia,2008,40 - 44,44719,Male
Colombia,2008,45 - 49,19026,Male
Colombia,2008,50 - 54,8091,Male
Colombia,2008,55 - 59,2783,Male
Colombia,2008,60 - 64,1184,Male
Colombia,2008,65 +,821,Male
Colombia,2008,Unknown - Inconnu,26699,Male
Colombia,2009,0 - 14,6706,Female
Colombia,2009,15 - 19,154272,Female
Colombia,2009,20 - 24,198693,Female
Colombia,2009,25 - 29,156543,Female
Colombia,2009,30 - 34,98792,Female
Colombia,2009,35 - 39,51073,Female
Colombia,2009,40 - 44,14714,Female
Colombia,2009,45 - 49,1155,Female
Colombia,2009,50 +,121,Female
Colombia,2009,Unknown - Inconnu,3976,Female
Colombia,2009,0 - 19,43460,Male
Colombia,2009,20 - 24,159519,Male
Colombia,2009,25 - 29,174324,Male
Colombia,2009,30 - 34,126783,Male
Colombia,2009,35 - 39,79977,Male
Colombia,2009,40 - 44,42532,Male
Colombia,2009,45 - 49,18530,Male
Colombia,2009,50 - 54,7882,Male
Colombia,2009,55 - 59,2645,Male
Colombia,2009,60 - 64,1077,Male
Colombia,2009,65 +,631,Male
Colombia,2009,Unknown - Inconnu,28685,Male
Colombia,2010,0 - 19,40842,Male
Colombia,2010,20 - 24,152100,Male
Colombia,2010,25 - 29,165232,Male
Colombia,2010,30 - 34,126916,Male
Colombia,2010,35 - 39,76083,Male
Colombia,2010,40 - 44,40809,Male
Colombia,2010,45 - 49,17448,Male
Colombia,2010,50 - 54,7278,Male
Colombia,2010,55 - 59,2473,Male
Colombia,2010,60 - 64,1038,Male
Colombia,2010,65 +,538,Male
Colombia,2010,Unknown - Inconnu,23870,Male
Colombia,2011,0 - 14,6291,Female
Colombia,2011,10 - 14,5849,Female
Colombia,2011,15 - 19,150195,Female
Colombia,2011,20 - 24,191801,Female
Colombia,2011,25 - 29,149275,Female
Colombia,2011,30 - 34,101446,Female
Colombia,2011,35 - 39,49526,Female
Colombia,2011,40 - 44,14093,Female
Colombia,2011,45 - 49,1129,Female
Colombia,2011,50 +,157,Female
Colombia,2011,Unknown - Inconnu,1586,Female
Colombia,2011,0 - 19,42704,Male
Colombia,2011,20 - 24,153586,Male
Colombia,2011,25 - 29,166191,Male
Colombia,2011,30 - 34,132998,Male
Colombia,2011,35 - 39,78149,Male
Colombia,2011,40 - 44,42015,Male
Colombia,2011,45 - 49,17436,Male
Colombia,2011,50 - 54,7396,Male
Colombia,2011,55 - 59,2370,Male
Colombia,2011,60 - 64,1001,Male
Colombia,2011,65 +,441,Male
Colombia,2011,Unknown - Inconnu,21212,Male
Colombia,2012,0 - 14,6547,Female
Colombia,2012,15 - 19,155890,Female
Colombia,2012,20 - 24,197195,Female
Colombia,2012,25 - 29,148483,Female
Colombia,2012,30 - 34,103230,Female
Colombia,2012,35 - 39,49285,Female
Colombia,2012,40 - 44,13902,Female
Colombia,2012,45 - 49,1124,Female
Colombia,2012,50 +,158,Female
Colombia,2012,Unknown - Inconnu,1021,Female
Colombia,2012,0 - 19,45480,Male
Colombia,2012,20 - 24,160092,Male
Colombia,2012,25 - 29,166947,Male
Colombia,2012,30 - 34,135349,Male
Colombia,2012,35 - 39,78149,Male
Colombia,2012,40 - 44,41088,Male
Colombia,2012,45 - 49,17051,Male
Colombia,2012,50 - 54,7251,Male
Colombia,2012,55 - 59,2367,Male
Colombia,2012,60 - 64,970,Male
Colombia,2012,65 +,428,Male
Colombia,2012,Unknown - Inconnu,21663,Male
Colombia,2014,0 - 14,6593,Female
Colombia,2014,15 - 19,144030,Female
Colombia,2014,20 - 24,195473,Female
Colombia,2014,25 - 29,150072,Female
Colombia,2014,30 - 34,106118,Female
Colombia,2014,35 - 39,52432,Female
Colombia,2014,40 - 44,12988,Female
Colombia,2014,45 - 49,1063,Female
Colombia,2014,50 +,128,Female
Colombia,2014,Unknown - Inconnu,234,Female
Colombia,2014,0 - 19,43790,Male
Colombia,2014,20 - 24,156289,Male
Colombia,2014,25 - 29,166282,Male
Colombia,2014,30 - 34,137163,Male
Colombia,2014,35 - 39,80662,Male
Colombia,2014,40 - 44,39995,Male
Colombia,2014,45 - 49,16475,Male
Colombia,2014,50 - 54,7150,Male
Colombia,2014,55 - 59,2355,Male
Colombia,2014,60 - 64,898,Male
Colombia,2014,65 +,415,Male
Colombia,2014,Unknown - Inconnu,17663,Male
Colombia,2016,10 - 14,5551,Female
Colombia,2016,15 - 19,130235,Female
Colombia,2016,20 - 24,188578,Female
Colombia,2016,25 - 29,151065,Female
Colombia,2016,30 - 34,103968,Female
Colombia,2016,35 - 39,53945,Female
Colombia,2016,40 - 44,12849,Female
Colombia,2016,45 - 49,1052,Female
Colombia,2016,50 +,156,Female
Colombia,2016,Unknown - Inconnu,122,Female
Colombia,2016,0 - 19,39497,Male
Colombia,2016,20 - 24,146571,Male
Colombia,2016,25 - 29,162214,Male
Colombia,2016,30 - 34,131977,Male
Colombia,2016,35 - 39,82070,Male
Colombia,2016,40 - 44,37761,Male
Colombia,2016,45 - 49,15596,Male
Colombia,2016,50 - 54,6859,Male
Colombia,2016,55 - 59,2078,Male
Colombia,2016,60 - 64,834,Male
Colombia,2016,65 +,363,Male
Colombia,2016,Unknown - Inconnu,21701,Male
Colombia,2017,10 - 14,5883,Female
Colombia,2017,15 - 19,128634,Female
Colombia,2017,20 - 24,190092,Female
Colombia,2017,25 - 29,154921,Female
Colombia,2017,30 - 34,105381,Female
Colombia,2017,35 - 39,57095,Female
Colombia,2017,40 - 44,13444,Female
Colombia,2017,45 - 49,1027,Female
Colombia,2017,50 +,146,Female
Colombia,2017,Unknown - Inconnu,81,Female
Colombia,2017,0 - 19,39747,Male
Colombia,2017,20 - 24,146434,Male
Colombia,2017,25 - 29,164892,Male
Colombia,2017,30 - 34,134505,Male
Colombia,2017,35 - 39,85259,Male
Colombia,2017,40 - 44,39602,Male
Colombia,2017,45 - 49,16265,Male
Colombia,2017,50 - 54,7147,Male
Colombia,2017,55 - 59,2236,Male
Colombia,2017,60 - 64,867,Male
Colombia,2017,65 +,368,Male
Colombia,2017,Unknown - Inconnu,19382,Male
France,2004,15 - 19,15181,Female
France,2004,20 - 24,108885,Female
France,2004,25 - 29,240057,Female
France,2004,30 - 34,257966,Female
France,2004,35 - 39,117119,Female
France,2004,40 - 44,27101,Female
France,2004,45 - 49,1417,Female
France,2004,50+     ,51,Female
France,2004,Unk,-,Female
France,2005,0 - 14,11,Female
France,2005,15 - 19,14946,Female
France,2005,20 - 24,107288,Female
France,2005,25 - 29,242272,Female
France,2005,30 - 34,257933,Female
France,2005,35 - 39,121735,Female
France,2005,40 - 44,28525,Female
France,2005,45 - 49,1564,Female
France,2005,50+,45,Female
France,2006,0 - 14,49,Female
France,2006,15 - 19,14577,Female
France,2006,20 - 24,108803,Female
France,2006,25 - 29,253052,Female
France,2006,30 - 34,258924,Female
France,2006,35 - 39,130047,Female
France,2006,40 - 44,29867,Female
France,2006,45 - 49,1500,Female
France,2006,50 +,77,Female
France,2006,Unknown - Inconnu,-,Female
France,2007,12 - 14,93,Female
France,2007,15 - 19,19630,Female
France,2007,20 - 24,117285,Female
France,2007,25 - 29,261454,Female
France,2007,30 - 34,242449,Female
France,2007,35 - 39,119070,Female
France,2007,40 - 44,24834,Female
France,2007,45 - 49,1113,Female
France,2007,50 +,57,Female
France,2007,Unknown - Inconnu,-,Female
France,2007,0 - 19,3726,Male
France,2007,20 - 24,53996,Male
France,2007,25 - 29,180394,Male
France,2007,30 - 34,257634,Male
France,2007,35 - 39,178486,Male
France,2007,40 - 44,74062,Male
France,2007,45 - 49,24801,Male
France,2007,50 - 54,8300,Male
France,2007,55 - 59,3335,Male
France,2007,60 - 64,1122,Male
France,2007,65 +,129,Male
France,2007,Unknown - Inconnu,-,Male
France,2008,12 - 14,94,Female
France,2008,15 - 19,19609,Female
France,2008,20 - 24,119146,Female
France,2008,25 - 29,264843,Female
France,2008,30 - 34,241970,Female
France,2008,35 - 39,123586,Female
France,2008,40 - 44,25463,Female
France,2008,45 - 49,1254,Female
France,2008,50 +,79,Female
France,2008,Total,677947,Female
France,2008,Unknown - Inconnu,-,Female
France,2008,0 - 19,3784,Male
France,2008,20 - 24,55482,Male
France,2008,25 - 29,182925,Male
France,2008,30 - 34,256125,Male
France,2008,35 - 39,183422,Male
France,2008,40 - 44,75695,Male
France,2008,45 - 49,25588,Male
France,2008,50 - 54,8477,Male
France,2008,55 - 59,3211,Male
France,2008,60 - 64,1235,Male
France,2008,65 +,100,Male
France,2008,Unknown - Inconnu,-,Male
France,2009,0 - 19,3852,Male
France,2009,20 - 24,54701,Male
France,2009,25 - 29,183121,Male
France,2009,30 - 34,253449,Male
France,2009,35 - 39,182243,Male
France,2009,40 - 44,76509,Male
France,2009,45 - 49,26336,Male
France,2009,50 - 54,8759,Male
France,2009,55 - 59,3135,Male
France,2009,60 - 64,1201,Male
France,2009,65 +,114,Male
France,2009,Unknown - Inconnu,-,Male
France,2010,0 - 19,3235,Male
France,2010,20 - 24,52892,Male
France,2010,25 - 29,183322,Male
France,2010,30 - 34,260153,Male
France,2010,35 - 39,183348,Male
France,2010,40 - 44,78729,Male
France,2010,45 - 49,27067,Male
France,2010,50 - 54,8978,Male
France,2010,55 - 59,3130,Male
France,2010,60 - 64,1261,Male
France,2010,65 +,109,Male
France,2011,12 - 14,110,Female
France,2011,15 - 19,17718,Female
France,2011,20 - 24,114375,Female
France,2011,25 - 29,258165,Female
France,2011,30 - 34,250435,Female
France,2011,35 - 39,122440,Female
France,2011,40 - 44,28162,Female
France,2011,45 - 49,1480,Female
France,2011,50 +,111,Female
France,2011,Total,662685,Female
France,2012,12 - 14,147,Female
France,2012,15 - 19,17512,Female
France,2012,20 - 24,111364,Female
France,2012,25 - 29,253800,Female
France,2012,30 - 34,255606,Female
France,2012,35 - 39,121563,Female
France,2012,40 - 44,28620,Female
France,2012,45 - 49,1557,Female
France,2012,50 +,121,Female
France,2012,Total,792137,Female
France,2012,0 - 19,3133,Male
France,2012,20 - 24,49144,Male
France,2012,25 - 29,175114,Male
France,2012,30 - 34,260412,Male
France,2012,35 - 39,177241,Male
France,2012,40 - 44,82312,Male
France,2012,45 - 49,28813,Male
France,2012,50 - 54,9435,Male
France,2012,55 - 59,3303,Male
France,2012,60 - 64,1244,Male
France,2012,65 +,139,Male
France,2013,0 - 19,2874,Male
France,2013,20 - 24,45946,Male
France,2013,25 - 29,173301,Male
France,2013,30 - 34,256974,Male
France,2013,35 - 39,176030,Male
France,2013,40 - 44,83507,Male
France,2013,45 - 49,28753,Male
France,2013,50 - 54,9647,Male
France,2013,55 - 59,3279,Male
France,2013,60 - 64,1165,Male
France,2013,65 +,145,Male
France,2014,0 - 19,8869,Female
France,2014,10 - 14,134,Female
France,2014,15 - 19,15977,Female
France,2014,20 - 24,103146,Female
France,2014,25 - 29,255898,Female
France,2014,30 - 34,267500,Female
France,2014,35 - 39,128988,Female
France,2014,40 - 44,32280,Female
France,2014,45 - 49,2059,Female
France,2014,50 +,119,Female
France,2014,Total,719737,Female
France,2014,0 - 19,2801,Male
France,2014,20 - 24,43367,Male
France,2014,25 - 29,169753,Male
France,2014,30 - 34,257676,Male
France,2014,35 - 39,177422,Male
France,2014,40 - 44,85031,Male
France,2014,45 - 49,30269,Male
France,2014,50 - 54,10050,Male
France,2014,55 - 59,3472,Male
France,2014,60 - 64,1191,Male
France,2014,65 +,135,Male
France,2015,0 - 19,2592,Male
France,2015,20 - 24,39085,Male
France,2015,25 - 29,162844,Male
France,2015,30 - 34,250049,Male
France,2015,35 - 39,177749,Male
France,2015,40 - 44,82700,Male
France,2015,45 - 49,30145,Male
France,2015,50 - 54,10348,Male
France,2015,55 - 59,3521,Male
France,2015,60 - 64,1248,Male
France,2015,65 +,140,Male
France,2016,0 - 19,2471,Male
France,2016,20 - 24,36311,Male
France,2016,25 - 29,155476,Male
France,2016,30 - 34,244419,Male
France,2016,35 - 39,178704,Male
France,2016,40 - 44,81868,Male
France,2016,45 - 49,30131,Male
France,2016,50 - 54,10436,Male
France,2016,55 - 59,3588,Male
France,2016,60 - 64,1187,Male
France,2016,65 +,106,Male
France,2017,0 - 19,2343,Male
France,2017,20 - 24,34195,Male
France,2017,25 - 29,148087,Male
France,2017,30 - 34,239631,Male
France,2017,35 - 39,177992,Male
France,2017,40 - 44,81022,Male
France,2017,45 - 49,31338,Male
France,2017,50 - 54,10741,Male
France,2017,55 - 59,3555,Male
France,2017,60 - 64,1201,Male
France,2017,65 +,137,Male
Germany,2003,15 - 19,26546,Female
Germany,2003,20 - 24,120894,Female
Germany,2003,25 - 29,198749,Female
Germany,2003,30 - 34,224356,Female
Germany,2003,35 - 39,116917,Female
Germany,2003,40 - 44,18446,Female
Germany,2003,45 - 49,614,Female
Germany,2003,50+     ,17,Female
Germany,2004,15 - 19,25268,Female
Germany,2004,20 - 24,119173,Female
Germany,2004,25 - 29,200631,Female
Germany,2004,30 - 34,218196,Female
Germany,2004,35 - 39,121454,Female
Germany,2004,40 - 44,20031,Female
Germany,2004,45 - 49,678,Female
Germany,2004,50+     ,21,Female
Germany,2006,0 - 14,141,Female
Germany,2006,15 - 19,23626,Female
Germany,2006,20 - 24,108190,Female
Germany,2006,25 - 29,198538,Female
Germany,2006,30 - 34,198712,Female
Germany,2006,35 - 39,119465,Female
Germany,2006,40 - 44,23195,Female
Germany,2006,45 - 49,826,Female
Germany,2006,50 +,31,Female
Germany,2006,Total,375,Female
Germany,2007,0 - 14,148,Female
Germany,2007,15 - 19,22712,Female
Germany,2007,20 - 24,104696,Female
Germany,2007,25 - 29,203168,Female
Germany,2007,30 - 34,204865,Female
Germany,2007,35 - 39,123185,Female
Germany,2007,40 - 44,24955,Female
Germany,2007,45 - 49,936,Female
Germany,2007,50 +,38,Female
Germany,2007,Unknown - Inconnu,159,Female
Germany,2007,0 - 19,3217,Male
Germany,2007,20 - 24,40602,Male
Germany,2007,25 - 29,126408,Male
Germany,2007,30 - 34,184082,Male
Germany,2007,35 - 39,167942,Male
Germany,2007,40 - 44,76017,Male
Germany,2007,45 - 49,20424,Male
Germany,2007,50 - 54,5485,Male
Germany,2007,55 - 59,1843,Male
Germany,2007,60 - 64,635,Male
Germany,2007,65 +,292,Male
Germany,2007,Unknown - Inconnu,57915,Male
Germany,2008,12 - 14,130,Female
Germany,2008,15 - 19,21682,Female
Germany,2008,20 - 24,100708,Female
Germany,2008,25 - 29,202342,Female
Germany,2008,30 - 34,208617,Female
Germany,2008,35 - 39,121095,Female
Germany,2008,40 - 44,26721,Female
Germany,2008,45 - 49,1040,Female
Germany,2008,50 +,30,Female
Germany,2008,Total,665126,Female
Germany,2008,Unknown - Inconnu,149,Female
Germany,2010,15 - 19,18401,Female
Germany,2010,20 - 24,94431,Female
Germany,2010,25 - 29,198199,Female
Germany,2010,30 - 34,219937,Female
Germany,2010,35 - 39,117601,Female
Germany,2010,40 - 44,27552,Female
Germany,2010,45 - 49,1232,Female
Germany,2010,50 +,65,Female
Germany,2010,Total,375,Female
Germany,2010,Unknown - Inconnu,418,Female
Germany,2011,15 - 19,16436,Female
Germany,2011,20 - 24,88708,Female
Germany,2011,25 - 29,190893,Female
Germany,2011,30 - 34,222109,Female
Germany,2011,35 - 39,115555,Female
Germany,2011,40 - 44,27097,Female
Germany,2011,45 - 49,1251,Female
Germany,2011,50 +,81,Female
Germany,2011,Total,106428,Female
