"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Cote d'Ivoire","1,300 [1,200 - 1,300]","4.4% [3.2% - 5.7%]","20.5% [17.9% - 23.1%]","6.7% [5.2% - 8.2%]","21.6% [19.1% - 24.3%]","14.7% [12.6% - 17.0%]","32.2% [29.4% - 34.9%]"
"Democratic Republic of the Congo","2,000 [1,900 - 2,100]","2.9% [2.1% - 3.8%]","3.3% [2.5% - 4.3%]","4.7% [3.7% - 5.9%]","10.4% [8.9% - 11.9%]","15.1% [13.5% - 17.0%]","63.5% [61.1% - 66.0%]"
"Equatorial Guinea","300 [200 - 400]","3.6% [1.6% - 6.0%]","8.9% [5.6% - 12.1%]","5.6% [3.2% - 8.1%]","15.8% [11.6% - 20.1%]","16.8% [12.6% - 21.1%]","49.3% [43.7% - 55.2%]"
"Eritrea","100 [0 - 100]","3.3% [0.0% - 7.8%]","11.5% [5.0% - 19.0%]","5.5% [1.2% - 11.4%]","17.5% [10.1% - 26.0%]","17.8% [9.9% - 26.6%]","44.4% [32.4% - 55.7%]"
"Eswatini","1,300 [900 - 1,700]","5.7% [4.3% - 7.1%]","13.6% [11.7% - 15.6%]","8.5% [6.9% - 10.1%]","17.8% [15.7% - 19.9%]","19.8% [17.6% - 22.3%]","34.5% [32.0% - 37.0%]"
"Ethiopia","11,300 [10,800 - 11,600]","3.4% [3.0% - 3.9%]","6.9% [6.3% - 7.5%]","5.3% [4.8% - 5.9%]","14.4% [13.6% - 15.1%]","16.4% [15.5% - 17.3%]","53.6% [52.4% - 54.7%]"
"Gabon","400 [300 - 500]","4.1% [2.4% - 6.0%]","13.8% [10.4% - 17.3%]","6.4% [3.9% - 9.0%]","18.4% [14.9% - 22.2%]","18.4% [14.5% - 22.3%]","38.9% [34.3% - 43.9%]"
"Gambia (Republic of The)","600 [600 - 700]","4.6% [3.0% - 6.5%]","12.6% [9.9% - 15.3%]","6.9% [4.9% - 8.9%]","17.9% [14.8% - 20.8%]","18.2% [15.1% - 21.5%]","39.8% [36.0% - 43.9%]"
"Ghana","2,000 [1,800 - 2,100]","2.9% [2.1% - 3.7%]","4.4% [3.5% - 5.3%]","4.8% [3.8% - 5.9%]","11.3% [9.8% - 12.9%]","17.8% [15.9% - 19.6%]","58.8% [56.5% - 61.1%]"
"Guinea","700 [600 - 800]","3.7% [2.3% - 5.5%]","10.2% [7.9% - 12.5%]","5.4% [3.7% - 7.3%]","17.8% [14.8% - 20.8%]","12.8% [10.4% - 15.6%]","50.0% [46.3% - 53.7%]"
"Guinea Bissau","300 [200 - 300]","5.3% [2.7% - 8.0%]","17.2% [12.5% - 22.2%]","7.3% [4.0% - 10.8%]","21.5% [16.4% - 26.7%]","12.7% [8.6% - 17.1%]","36.0% [29.9% - 42.0%]"
"Kenya","8,400 [8,000 - 8,700]","2.9% [2.5% - 3.2%]","18.9% [18.1% - 19.5%]","4.3% [3.9% - 4.8%]","22.3% [21.7% - 23.0%]","9.9% [9.1% - 10.7%]","41.8% [40.7% - 42.7%]"
"Lesotho","800 [600 - 1,000]","4.5% [3.0% - 6.1%]","14.1% [11.5% - 16.8%]","7.3% [5.4% - 9.3%]","18.3% [15.7% - 21.2%]","19.3% [16.5% - 22.0%]","36.5% [33.1% - 39.9%]"
"Liberia","500 [400 - 600]","4.3% [2.7% - 6.3%]","10.6% [7.8% - 13.3%]","6.4% [4.3% - 8.7%]","18.0% [14.8% - 21.3%]","14.3% [11.1% - 17.6%]","46.3% [41.9% - 50.5%]"
"Madagascar","1,700 [1,600 - 1,800]","3.5% [2.6% - 4.4%]","8.0% [6.7% - 9.3%]","5.4% [4.3% - 6.6%]","15.2% [13.5% - 16.9%]","17.0% [15.2% - 18.9%]","50.9% [48.5% - 53.4%]"
"Malawi","3,500 [3,200 - 3,700]","3.6% [3.0% - 4.3%]","14.2% [13.3% - 15.3%]","4.6% [4.0% - 5.3%]","19.2% [18.0% - 20.2%]","12.0% [10.6% - 13.4%]","46.4% [44.5% - 48.2%]"
"Mali","1,000 [1,000 - 1,100]","2.7% [1.6% - 3.9%]","3.9% [2.7% - 5.3%]","4.4% [3.1% - 5.8%]","11.5% [9.4% - 13.7%]","13.8% [11.6% - 16.1%]","63.6% [60.4% - 66.9%]"
"Mauritania","1,400 [1,400 - 1,500]","3.7% [2.7% - 4.7%]","9.5% [8.0% - 11.1%]","5.7% [4.5% - 7.1%]","16.3% [14.3% - 18.3%]","16.6% [14.7% - 18.7%]","48.2% [45.3% - 51.0%]"
"Mauritius","0 [0 - 100]","2.3% [0.0% - 18.2%]","10.6% [0.0% - 37.5%]","3.8% [0.0% - 20.1%]","17.3% [0.0% - 50.0%]","12.3% [0.0% - 40.0%]","53.7% [16.6% - 87.5%]"
"Mozambique","3,500 [3,400 - 3,600]","2.7% [2.1% - 3.4%]","3.1% [2.5% - 3.7%]","4.6% [3.7% - 5.5%]","9.9% [8.8% - 11.1%]","16.6% [15.1% - 18.1%]","63.1% [61.2% - 65.0%]"
"Namibia","5,100 [4,200 - 5,800]","3.9% [3.3% - 4.5%]","8.9% [8.0% - 9.8%]","6.0% [5.2% - 6.7%]","15.4% [14.3% - 16.5%]","19.1% [17.8% - 20.3%]","46.8% [45.2% - 48.4%]"
"Niger","400 [300 - 400]","3.9% [2.0% - 5.9%]","9.7% [6.6% - 12.9%]","5.5% [3.0% - 8.0%]","18.4% [14.6% - 22.6%]","11.1% [7.9% - 14.4%]","51.4% [46.4% - 57.0%]"
"Nigeria","5,500 [5,200 - 5,900]","2.8% [2.3% - 3.2%]","16.0% [15.5% - 16.5%]","3.7% [3.2% - 4.1%]","21.6% [21.1% - 22.2%]","8.0% [7.1% - 8.8%]","47.9% [46.9% - 49.0%]"
"Rwanda","2,300 [2,100 - 2,400]","3.5% [2.7% - 4.3%]","6.6% [5.5% - 7.8%]","6.0% [5.0% - 7.2%]","13.4% [12.0% - 14.9%]","20.8% [18.9% - 22.6%]","49.6% [47.5% - 51.8%]"
"Sao Tome and Principe","100 [0 - 200]","3.7% [0.0% - 8.0%]","13.1% [7.0% - 20.0%]","5.9% [1.9% - 11.0%]","18.3% [10.9% - 25.8%]","17.0% [9.9% - 25.0%]","42.0% [31.6% - 51.1%]"
"Senegal","3,400 [3,300 - 3,500]","3.8% [3.1% - 4.6%]","9.7% [8.7% - 10.8%]","5.9% [5.0% - 6.8%]","16.7% [15.3% - 18.1%]","16.4% [15.1% - 17.8%]","47.4% [45.6% - 49.2%]"
"Seychelles","100 [0 - 100]","1.7% [0.0% - 5.9%]","8.8% [2.2% - 16.4%]","2.8% [0.0% - 7.9%]","15.2% [7.1% - 25.0%]","11.7% [4.4% - 20.0%]","59.9% [46.8% - 72.5%]"
"Sierra Leone","200 [200 - 300]","3.6% [1.4% - 6.2%]","9.2% [5.6% - 13.4%]","5.5% [2.4% - 8.5%]","16.9% [12.0% - 22.0%]","14.1% [9.4% - 19.0%]","50.6% [43.6% - 57.4%]"
"South Africa","134,500 [132,100 - 136,800]","5.0% [4.8% - 5.3%]","15.0% [14.5% - 15.6%]","7.7% [7.4% - 8.0%]","18.8% [18.2% - 19.3%]","18.5% [17.9% - 19.1%]","34.9% [34.2% - 35.6%]"
"South Sudan","200 [200 - 300]","3.4% [1.2% - 5.9%]","6.4% [3.3% - 9.9%]","4.8% [2.0% - 7.9%]","14.1% [9.5% - 18.6%]","15.2% [10.7% - 20.3%]","56.2% [49.9% - 62.9%]"
"Togo","400 [400 - 500]","3.6% [1.8% - 5.5%]","7.6% [5.1% - 10.2%]","5.6% [3.4% - 8.0%]","15.2% [12.1% - 18.5%]","15.7% [12.3% - 19.2%]","52.3% [47.3% - 57.4%]"
"Uganda","5,800 [5,700 - 5,900]","4.9% [4.0% - 5.8%]","14.2% [12.8% - 15.6%]","6.4% [5.4% - 7.4%]","21.1% [19.4% - 22.7%]","11.1% [10.0% - 12.3%]","42.4% [40.4% - 44.3%]"
"United Republic of Tanzania","1,300 [1,300 - 1,400]","3.5% [2.4% - 4.6%]","6.5% [5.1% - 8.0%]","5.4% [4.0% - 6.8%]","14.3% [12.3% - 16.4%]","15.6% [13.5% - 17.7%]","54.7% [51.7% - 57.9%]"
"Zambia","6,600 [6,500 - 6,700]","4.2% [3.5% - 4.8%]","12.2% [11.3% - 13.3%]","6.3% [5.6% - 7.1%]","18.8% [17.6% - 20.0%]","14.8% [13.8% - 15.9%]","43.7% [42.1% - 45.2%]"
"Zimbabwe","8,000 [7,500 - 8,300]","7.3% [6.7% - 8.0%]","18.2% [17.2% - 19.2%]","8.1% [7.5% - 8.8%]","20.9% [19.8% - 21.8%]","12.6% [11.8% - 13.6%]","32.8% [31.5% - 34.1%]"
"Antigua and Barbuda","0 [0 - 100]","2.1% [0.0% - 9.2%]","9.2% [0.0% - 23.1%]","3.4% [0.0% - 13.4%]","15.0% [0.0% - 31.6%]","13.4% [0.0% - 28.6%]","57.0% [35.2% - 79.2%]"
"Argentina","30,300 [29,500 - 30,900]","3.2% [2.9% - 3.4%]","11.1% [10.5% - 11.6%]","4.8% [4.6% - 5.2%]","16.8% [16.1% - 17.4%]","15.0% [14.5% - 15.6%]","49.2% [48.2% - 50.0%]"
"Bahamas","100 [0 - 200]","2.6% [0.0% - 6.4%]","10.1% [4.1% - 17.7%]","4.0% [0.0% - 8.7%]","15.7% [7.4% - 24.2%]","14.7% [6.9% - 24.2%]","53.0% [42.0% - 64.6%]"
"Barbados","0 [0 - 100]","1.4% [0.0% - 9.2%]","7.5% [0.0% - 25.0%]","2.2% [0.0% - 12.5%]","14.1% [0.0% - 33.4%]","11.1% [0.0% - 29.5%]","63.6% [38.8% - 88.3%]"
"Belize","200 [100 - 400]","2.9% [0.6% - 5.6%]","8.1% [4.1% - 12.3%]","4.6% [1.8% - 7.7%]","14.6% [9.7% - 20.1%]","18.5% [12.6% - 24.0%]","51.3% [44.1% - 58.9%]"
"Bolivia (Plurinational State of)","14,700 [9,500 - 19,900]","4.3% [3.9% - 4.7%]","14.6% [13.9% - 15.2%]","6.5% [6.0% - 6.9%]","18.8% [18.0% - 19.5%]","17.5% [16.8% - 18.2%]","38.4% [37.4% - 39.3%]"
"Brazil","169,900 [167,700 - 172,100]","3.3% [3.1% - 3.4%]","15.6% [15.0% - 16.2%]","5.0% [4.8% - 5.2%]","19.7% [19.2% - 20.2%]","14.4% [14.0% - 14.7%]","42.0% [41.4% - 42.6%]"
"Canada","2,100 [1,000 - 3,700]","4.1% [3.2% - 5.1%]","14.6% [13.0% - 16.3%]","6.4% [5.2% - 7.5%]","18.9% [17.1% - 20.7%]","14.9% [13.3% - 16.6%]","41.1% [38.9% - 43.4%]"
"Chile","3,700 [1,800 - 6,800]","2.4% [1.8% - 3.0%]","10.5% [9.4% - 11.6%]","3.9% [3.2% - 4.6%]","16.7% [15.3% - 18.1%]","13.3% [12.1% - 14.6%]","53.3% [51.6% - 55.1%]"
"Colombia","55,300 [53,800 - 56,400]","2.8% [2.6% - 3.0%]","10.8% [10.2% - 11.3%]","4.6% [4.3% - 4.9%]","16.6% [15.9% - 17.2%]","15.2% [14.6% - 15.8%]","50.1% [49.2% - 51.0%]"
"Costa Rica","800 [400 - 1,400]","3.0% [1.8% - 4.4%]","10.7% [8.5% - 13.1%]","4.7% [3.2% - 6.3%]","16.6% [14.0% - 19.5%]","15.1% [12.5% - 17.6%]","49.9% [46.1% - 53.9%]"
"Cuba","700 [300 - 1,400]","0.7% [0.1% - 1.5%]","2.7% [1.4% - 4.0%]","1.4% [0.6% - 2.4%]","8.4% [6.3% - 10.5%]","9.9% [7.6% - 12.3%]","76.9% [73.8% - 80.0%]"
"Dominica","0 [0 - 100]","2.4% [0.0% - 33.4%]","9.0% [0.0% - 50.0%]","4.0% [0.0% - 50.0%]","15.9% [0.0% - 66.7%]","12.9% [0.0% - 50.0%]","55.9% [0.0% - 100.0%]"
"Dominican Republic","1,700 [900 - 2,800]","2.9% [2.0% - 3.7%]","10.4% [8.9% - 12.1%]","4.4% [3.3% - 5.5%]","16.5% [14.5% - 18.3%]","16.0% [14.2% - 18.0%]","49.9% [47.4% - 52.3%]"
"Ecuador","16,500 [9,600 - 25,600]","3.7% [3.4% - 4.1%]","13.9% [13.3% - 14.6%]","5.6% [5.2% - 6.0%]","18.6% [17.9% - 19.2%]","16.3% [15.7% - 16.9%]","41.9% [41.0% - 42.7%]"
"El Salvador","800 [400 - 1,500]","4.7% [3.2% - 6.2%]","14.9% [12.3% - 17.6%]","6.5% [4.6% - 8.2%]","19.1% [16.4% - 22.0%]","15.5% [12.9% - 18.0%]","39.3% [35.8% - 43.2%]"
"Grenada","0 [0 - 100]","2.2% [0.0% - 7.5%]","9.4% [1.8% - 18.4%]","4.0% [0.0% - 10.9%]","15.7% [5.4% - 26.6%]","14.4% [4.7% - 25.6%]","54.3% [39.9% - 68.8%]"
"Guatemala","13,200 [8,900 - 17,700]","3.8% [3.4% - 4.3%]","8.7% [8.1% - 9.3%]","6.1% [5.5% - 6.6%]","15.2% [14.4% - 15.9%]","19.3% [18.5% - 20.2%]","46.9% [45.9% - 47.9%]"
"Guyana","500 [200 - 800]","2.3% [1.0% - 4.0%]","9.1% [6.5% - 11.8%]","3.2% [1.7% - 5.1%]","15.4% [12.1% - 18.8%]","16.0% [12.7% - 19.6%]","54.0% [49.3% - 58.8%]"
"Haiti","600 [400 - 900]","4.6% [3.1% - 6.4%]","17.8% [14.8% - 20.8%]","6.6% [4.7% - 8.8%]","20.0% [17.0% - 23.2%]","16.9% [14.0% - 19.8%]","34.2% [30.5% - 38.0%]"
"Honduras","5,100 [3,000 - 7,800]","3.9% [3.3% - 4.5%]","14.9% [13.7% - 16.1%]","6.1% [5.3% - 7.0%]","18.4% [17.3% - 19.7%]","19.6% [18.3% - 20.8%]","37.1% [35.6% - 38.8%]"
"Jamaica","500 [200 - 800]","2.2% [0.9% - 3.7%]","10.9% [7.8% - 14.0%]","3.7% [2.0% - 5.6%]","16.9% [13.4% - 20.4%]","14.7% [11.4% - 18.4%]","51.6% [46.8% - 56.5%]"
"Mexico","192,500 [191,200 - 193,900]","3.4% [3.3% - 3.5%]","9.8% [9.7% - 9.9%]","5.9% [5.8% - 6.1%]","16.7% [16.5% - 16.8%]","18.1% [17.8% - 18.3%]","46.1% [45.9% - 46.4%]"
"Nicaragua","100 [0 - 200]","4.7% [0.9% - 9.7%]","19.7% [11.4% - 27.9%]","6.4% [2.1% - 11.6%]","20.5% [12.6% - 29.8%]","15.9% [8.4% - 24.2%]","32.8% [22.9% - 42.0%]"
"Panama","3,900 [2,300 - 5,900]","3.3% [2.6% - 3.9%]","14.6% [13.4% - 15.8%]","5.2% [4.4% - 6.0%]","19.0% [17.7% - 20.4%]","14.9% [13.6% - 16.2%]","43.0% [41.4% - 44.7%]"
"Paraguay","8,300 [4,800 - 12,300]","4.3% [3.8% - 4.8%]","21.3% [20.2% - 22.4%]","5.9% [5.3% - 6.5%]","21.7% [20.6% - 22.8%]","13.3% [12.4% - 14.2%]","33.6% [32.4% - 34.7%]"
"Peru","80,200 [77,800 - 81,500]","3.3% [3.1% - 3.6%]","12.7% [12.0% - 13.4%]","5.2% [4.9% - 5.5%]","18.6% [17.7% - 19.3%]","14.2% [13.8% - 14.9%]","46.0% [44.9% - 47.0%]"
"Saint Kitts and Nevis","0 [0 - 100]","2.2% [0.0% - 50.0%]","6.9% [0.0% - 100.0%]","3.2% [0.0% - 50.0%]","14.0% [0.0% - 100.0%]","13.2% [0.0% - 100.0%]","60.5% [0.0% - 100.0%]"
"Saint Lucia","0 [0 - 100]","2.4% [0.0% - 14.3%]","12.3% [0.0% - 33.4%]","3.7% [0.0% - 16.7%]","18.1% [0.0% - 41.7%]","12.9% [0.0% - 33.4%]","50.8% [21.4% - 80.0%]"
"Saint Vincent and the Grenadines","0 [0 - 100]","1.9% [0.0% - 14.3%]","10.8% [0.0% - 33.4%]","3.2% [0.0% - 16.7%]","16.6% [0.0% - 44.5%]","13.3% [0.0% - 36.4%]","54.2% [22.2% - 84.7%]"
"Suriname","500 [300 - 900]","2.8% [1.4% - 4.5%]","17.2% [13.9% - 21.0%]","4.4% [2.6% - 6.3%]","20.0% [16.4% - 23.6%]","13.8% [10.6% - 16.7%]","41.8% [37.4% - 46.2%]"
"Trinidad and Tobago","200 [0 - 400]","1.9% [0.0% - 4.2%]","7.7% [3.9% - 11.9%]","3.3% [1.0% - 6.4%]","14.4% [9.4% - 19.8%]","13.5% [8.7% - 18.7%]","59.2% [51.7% - 66.3%]"
"Uruguay","1,300 [600 - 2,200]","3.8% [2.6% - 5.0%]","14.5% [12.4% - 16.6%]","5.7% [4.2% - 7.0%]","19.3% [16.9% - 21.7%]","14.8% [12.6% - 16.9%]","42.0% [39.0% - 45.0%]"
"USA","149,300 [148,600 - 150,200]","5.5% [5.4% - 5.6%]","14.8% [14.6% - 14.9%]","7.5% [7.4% - 7.6%]","18.0% [17.9% - 18.1%]","16.6% [16.4% - 16.8%]","37.7% [37.5% - 37.9%]"
"Venezuela (Bolivarian Republic of)","1,900 [1,000 - 3,100]","3.1% [2.3% - 4.0%]","10.8% [9.3% - 12.4%]","4.9% [3.8% - 5.9%]","16.8% [15.0% - 18.7%]","15.7% [14.0% - 17.4%]","48.8% [46.5% - 51.2%]"
"Belarus","600 [300 - 1,100]","2.0% [0.9% - 3.1%]","9.7% [7.3% - 12.2%]","3.5% [2.1% - 5.1%]","16.5% [13.6% - 19.6%]","12.3% [9.7% - 14.9%]","56.0% [51.9% - 60.2%]"
"Bulgaria","2,400 [1,100 - 4,400]","2.7% [2.0% - 3.5%]","18.0% [16.1% - 19.8%]","4.7% [3.7% - 5.8%]","21.7% [19.6% - 23.7%]","11.5% [10.0% - 13.1%]","41.3% [39.0% - 43.8%]"
"Czech Republic","3,600 [1,900 - 6,600]","3.6% [2.9% - 4.4%]","18.5% [17.0% - 20.1%]","6.1% [5.2% - 7.1%]","21.4% [19.8% - 23.1%]","12.8% [11.5% - 14.2%]","37.5% [35.8% - 39.5%]"
"Hungary","2,600 [1,200 - 4,800]","3.3% [2.6% - 4.1%]","15.4% [13.8% - 17.0%]","5.4% [4.5% - 6.5%]","20.3% [18.6% - 22.1%]","13.0% [11.6% - 14.5%]","42.5% [40.3% - 44.5%]"
"Poland","13,400 [13,100 - 13,700]","2.9% [2.7% - 3.2%]","12.8% [12.5% - 13.2%]","5.0% [4.7% - 5.2%]","18.3% [18.1% - 18.7%]","13.6% [13.1% - 14.2%]","47.3% [46.6% - 47.9%]"
"Republic of Moldova","400 [100 - 700]","2.2% [0.7% - 3.9%]","8.4% [5.5% - 11.3%]","3.9% [1.8% - 6.2%]","15.3% [11.4% - 19.2%]","14.3% [10.4% - 18.2%]","55.9% [51.1% - 61.3%]"
"Romania","5,200 [2,700 - 9,200]","2.7% [2.1% - 3.2%]","13.9% [12.7% - 15.1%]","4.4% [3.8% - 5.2%]","19.2% [17.9% - 20.5%]","12.4% [11.3% - 13.5%]","47.4% [45.9% - 48.9%]"
"Russian Federation","36,800 [36,800 - 36,900]","1.7% [1.5% - 1.9%]","6.1% [5.7% - 6.5%]","3.2% [2.9% - 3.5%]","13.1% [12.6% - 13.6%]","13.4% [12.9% - 14.0%]","62.5% [61.7% - 63.3%]"
"Slovakia","1,100 [500 - 2,000]","2.8% [1.7% - 3.9%]","11.9% [9.8% - 14.1%]","4.7% [3.2% - 6.1%]","17.9% [15.2% - 20.4%]","13.4% [11.4% - 15.6%]","49.4% [46.2% - 52.1%]"
"Ukraine","4,600 [2,300 - 8,400]","2.1% [1.6% - 2.5%]","9.2% [8.3% - 10.2%]","3.8% [3.1% - 4.4%]","16.2% [14.9% - 17.5%]","12.7% [11.5% - 13.8%]","56.1% [54.4% - 57.8%]"
"Afghanistan","12,700 [12,200 - 13,100]","4.8% [4.3% - 5.4%]","12.8% [12.0% - 13.6%]","6.7% [6.1% - 7.4%]","19.1% [18.1% - 20.0%]","13.9% [13.1% - 14.7%]","42.6% [41.4% - 43.8%]"
"Bahrain","300 [100 - 500]","6.8% [3.8% - 10.3%]","21.0% [15.8% - 26.4%]","8.0% [4.8% - 11.7%]","19.5% [14.7% - 24.4%]","15.6% [11.1% - 20.3%]","29.2% [23.6% - 34.9%]"
"Djibouti","100 [0 - 200]","6.4% [2.2% - 11.0%]","19.9% [12.8% - 27.3%]","8.0% [3.5% - 13.4%]","20.7% [13.9% - 28.2%]","15.5% [9.0% - 22.0%]","29.4% [21.5% - 37.5%]"
"Egypt","25,800 [21,000 - 29,300]","2.6% [2.1% - 3.1%]","2.6% [2.3% - 3.0%]","3.9% [3.3% - 4.5%]","8.7% [8.0% - 9.5%]","15.4% [14.3% - 16.6%]","66.8% [65.1% - 68.3%]"
"I.R. Iran","71,200 [70,400 - 72,000]","3.7% [3.5% - 3.9%]","13.2% [12.9% - 13.4%]","5.2% [5.0% - 5.3%]","18.0% [17.8% - 18.2%]","13.2% [12.9% - 13.5%]","46.7% [46.4% - 47.1%]"
"Iraq","37,200 [33,100 - 39,700]","2.9% [2.6% - 3.2%]","6.1% [5.7% - 6.4%]","5.0% [4.6% - 5.3%]","12.8% [12.2% - 13.3%]","20.1% [19.4% - 20.9%]","53.2% [52.4% - 54.0%]"
"Jordan","8,600 [5,500 - 12,100]","3.0% [2.5% - 3.5%]","7.2% [6.6% - 7.9%]","5.0% [4.4% - 5.5%]","13.7% [12.8% - 14.5%]","19.9% [18.8% - 20.9%]","51.2% [50.0% - 52.5%]"
"Kuwait","700 [300 - 1,200]","10.6% [8.0% - 13.3%]","22.0% [18.8% - 25.3%]","12.2% [9.7% - 15.0%]","18.7% [15.6% - 21.6%]","15.1% [12.1% - 18.2%]","21.4% [18.2% - 24.8%]"
"Lebanon","2,300 [1,100 - 3,800]","2.5% [1.8% - 3.2%]","13.7% [12.1% - 15.3%]","4.1% [3.2% - 5.0%]","18.1% [16.4% - 19.8%]","15.0% [13.5% - 16.5%]","46.7% [44.6% - 48.8%]"
"Libya","1,700 [900 - 2,700]","1.8% [1.1% - 2.6%]","2.6% [1.8% - 3.5%]","3.5% [2.5% - 4.5%]","8.4% [7.0% - 9.9%]","17.5% [15.5% - 19.8%]","66.0% [63.4% - 68.7%]"
"Morocco","7,000 [4,100 - 10,900]","2.4% [1.9% - 2.8%]","8.8% [8.1% - 9.6%]","4.0% [3.4% - 4.5%]","15.3% [14.4% - 16.2%]","15.6% [14.7% - 16.6%]","54.0% [52.8% - 55.3%]"
"Occupied Palestinian Territory","7,700 [7,100 - 8,200]","3.7% [3.1% - 4.2%]","12.3% [11.4% - 13.3%]","6.5% [5.7% - 7.2%]","17.7% [16.6% - 18.8%]","19.7% [18.5% - 20.9%]","40.1% [38.8% - 41.5%]"
"Oman","3,300 [2,000 - 4,500]","9.5% [8.1% - 11.0%]","11.7% [10.3% - 13.1%]","11.7% [10.2% - 13.2%]","16.1% [14.6% - 17.6%]","19.2% [17.6% - 20.9%]","31.8% [30.0% - 33.9%]"
"Pakistan","41,900 [35,800 - 46,400]","3.0% [2.7% - 3.3%]","7.3% [6.9% - 7.6%]","4.9% [4.6% - 5.2%]","14.4% [13.9% - 14.9%]","17.0% [16.5% - 17.6%]","53.4% [52.7% - 54.1%]"
"Qatar","100 [0 - 200]","20.7% [12.0% - 29.6%]","37.3% [26.6% - 49.0%]","16.9% [8.9% - 25.5%]","13.0% [6.5% - 21.5%]","7.9% [2.4% - 14.3%]","4.1% [0.0% - 8.7%]"
"Saudi Arabia","3,300 [1,800 - 5,300]","4.6% [3.7% - 5.4%]","14.1% [12.7% - 15.4%]","7.1% [6.0% - 8.2%]","16.9% [15.5% - 18.4%]","20.5% [19.0% - 22.0%]","36.8% [34.9% - 38.8%]"
"Somalia","2,200 [2,200 - 2,300]","3.0% [2.2% - 3.8%]","8.3% [7.0% - 9.5%]","4.3% [3.3% - 5.3%]","16.1% [14.4% - 17.8%]","12.4% [11.0% - 14.0%]","55.9% [53.6% - 58.3%]"
"Sudan","5,600 [5,400 - 5,700]","3.3% [2.7% - 3.8%]","11.5% [10.5% - 12.5%]","5.0% [4.4% - 5.7%]","18.2% [17.0% - 19.4%]","14.7% [13.6% - 15.8%]","47.3% [45.8% - 48.9%]"
"Syrian Arab Republic","2,200 [1,400 - 3,000]","3.9% [3.0% - 4.9%]","9.5% [8.2% - 10.9%]","6.0% [4.9% - 7.1%]","16.1% [14.5% - 17.6%]","17.2% [15.4% - 18.9%]","47.3% [45.1% - 49.4%]"
